"","Reliably improved","","No Reliable Change","","Reliably deteriorated",""
"Ethnicity","Men (%)","Women (%)","Men (%)","Women (%)","Men (%)","Women (%)"
"Asian","62.8","64.5","28.3","27.1","7.8","7.4"
"Bangladeshi","56.6","63.4","30.4","27.0","10.1","8.0"
"Indian","66.5","66.4","26.2","25.9","6.6","6.8"
"Pakistani","63.0","63.0","28.1","28.4","7.9","7.6"
"Asian other","59.0","63.6","31.1","27.4","8.5","7.8"
"Black","64.6","66.9","27.2","25.0","6.9","7.0"
"Black African","64.6","66.9","27.2","24.5","6.7","7.2"
"Black Caribbean","65.0","67.0","26.5","25.3","7.4","6.8"
"Black other","63.4","66.6","28.9","24.8","6.2","7.2"
"Mixed","63.9","65.1","28.0","27.4","6.8","6.7"
"Mixed White/Asian","64.2","63.1","27.6","29.9","7.3","5.9"
"Mixed White/Black African","61.4","67.4","30.3","25.9","8.0","6.1"
"Mixed White/Black Caribbean","63.7","65.1","28.5","27.0","6.2","7.3"
"Mixed other","64.5","65.4","27.2","27.0","6.7","6.7"
"White","67.3","68.4","26.0","25.1","5.5","5.6"
"White British","67.5","68.5","25.9","25.1","5.5","5.5"
"White Irish","65.3","65.7","27.6","26.9","6.1","6.7"
"White other","65.0","67.5","27.5","25.5","6.1","6.0"
"Other inc Chinese","63.8","64.1","27.6","27.4","7.4","7.4"
"Chinese","71.5","64.8","22.6","27.9","5.1","6.3"
"Any other","62.5","63.9","28.4","27.3","7.7","7.6"
