"Ethnicity","Grade","%","Headcount"
"Asian","Senior doctors (Career grade)","",""
"Asian","Consultant (including Directors of Public Health)","28.1","13,108"
"Asian","Associate Specialist","41.1","874"
"Asian","Specialty Doctor","44.1","3,177"
"Asian","Staff Grade","35.4","127"
"Asian","Junior doctors (Training and equivalent)","",""
"Asian","Specialty Registrar","28.8","7,992"
"Asian","Core Training","28.0","2,616"
"Asian","Foundation Doctor Year 2","24.6","1,420"
"Asian","Foundation Doctor Year 1","21.2","1,174"
"Asian","Other doctors","",""
"Asian","Hospital Practitioner / Clinical Assistant","17.6","269"
"Asian","Other and Local Hospital and Community Health Services Doctor Grades","22.7","273"
"Black","Senior doctors (Career grade)","",""
"Black","Consultant (including Directors of Public Health)","2.9","1,346"
"Black","Associate Specialist","5.1","108"
"Black","Specialty Doctor","5.4","388"
"Black","Staff Grade","8.1","29"
"Black","Junior doctors (Training and equivalent)","",""
"Black","Specialty Registrar","5.7","1,567"
"Black","Core Training","6.1","568"
"Black","Foundation Doctor Year 2","4.5","257"
"Black","Foundation Doctor Year 1","3.9","213"
"Black","Other doctors","",""
"Black","Hospital Practitioner / Clinical Assistant","1.6","25"
"Black","Other and Local Hospital and Community Health Services Doctor Grades","2.3","28"
"Chinese","Senior doctors (Career grade)","",""
"Chinese","Consultant (including Directors of Public Health)","2.0","923"
"Chinese","Associate Specialist","0.8","16"
"Chinese","Specialty Doctor","0.9","63"
"Chinese","Staff Grade","3.3","12"
"Chinese","Junior doctors (Training and equivalent)","",""
"Chinese","Specialty Registrar","3.4","954"
"Chinese","Core Training","3.4","321"
"Chinese","Foundation Doctor Year 2","3.1","179"
"Chinese","Foundation Doctor Year 1","4.2","231"
"Chinese","Other doctors","",""
"Chinese","Hospital Practitioner / Clinical Assistant","0.5","8"
"Chinese","Other and Local Hospital and Community Health Services Doctor Grades","1.6","19"
"Mixed","Senior doctors (Career grade)","",""
"Mixed","Consultant (including Directors of Public Health)","2.2","1,028"
"Mixed","Associate Specialist","3.2","69"
"Mixed","Specialty Doctor","3.1","224"
"Mixed","Staff Grade","4.2","15"
"Mixed","Junior doctors (Training and equivalent)","",""
"Mixed","Specialty Registrar","3.9","1,088"
"Mixed","Core Training","4.3","403"
"Mixed","Foundation Doctor Year 2","4.1","239"
"Mixed","Foundation Doctor Year 1","4.4","244"
"Mixed","Other doctors","",""
"Mixed","Hospital Practitioner / Clinical Assistant","1.5","23"
"Mixed","Other and Local Hospital and Community Health Services Doctor Grades","2.9","35"
"White","Senior doctors (Career grade)","",""
"White","Consultant (including Directors of Public Health)","61.4","28,655"
"White","Associate Specialist","40.8","869"
"White","Specialty Doctor","39.3","2,830"
"White","Staff Grade","42.9","154"
"White","Junior doctors (Training and equivalent)","",""
"White","Specialty Registrar","53.7","14,865"
"White","Core Training","53.7","5,019"
"White","Foundation Doctor Year 2","60.1","3,465"
"White","Foundation Doctor Year 1","63.4","3,505"
"White","Other doctors","",""
"White","Hospital Practitioner / Clinical Assistant","77.1","1,181"
"White","Other and Local Hospital and Community Health Services Doctor Grades","68.0","817"
"Other","Senior doctors (Career grade)","",""
"Other","Consultant (including Directors of Public Health)","3.4","1,573"
"Other","Associate Specialist","9.0","192"
"Other","Specialty Doctor","7.3","527"
"Other","Staff Grade","6.1","22"
"Other","Junior doctors (Training and equivalent)","",""
"Other","Specialty Registrar","4.5","1,241"
"Other","Core Training","4.5","418"
"Other","Foundation Doctor Year 2","3.6","205"
"Other","Foundation Doctor Year 1","3.0","164"
"Other","Other doctors","",""
"Other","Hospital Practitioner / Clinical Assistant","1.7","26"
"Other","Other and Local Hospital and Community Health Services Doctor Grades","2.4","29"
