"","Asian","","Black","","Chinese","","Mixed","","White","","Other",""
"Grade","%","Headcount","%","Headcount","%","Headcount","%","Headcount","%","Headcount","%","Headcount"
"Senior doctors (Career grade)","","","","","","","","","","","",""
"Consultant (including Directors of Public Health)","28.1","13,108","2.9","1,346","2.0","923","2.2","1,028","61.4","28,655","3.4","1,573"
"Associate Specialist","41.1","874","5.1","108","0.8","16","3.2","69","40.8","869","9.0","192"
"Specialty Doctor","44.1","3,177","5.4","388","0.9","63","3.1","224","39.3","2,830","7.3","527"
"Staff Grade","35.4","127","8.1","29","3.3","12","4.2","15","42.9","154","6.1","22"
"Junior doctors (Training and equivalent)","","","","","","","","","","","",""
"Specialty Registrar","28.8","7,992","5.7","1,567","3.4","954","3.9","1,088","53.7","14,865","4.5","1,241"
"Core Training","28.0","2,616","6.1","568","3.4","321","4.3","403","53.7","5,019","4.5","418"
"Foundation Doctor Year 2","24.6","1,420","4.5","257","3.1","179","4.1","239","60.1","3,465","3.6","205"
"Foundation Doctor Year 1","21.2","1,174","3.9","213","4.2","231","4.4","244","63.4","3,505","3.0","164"
"Other doctors","","","","","","","","","","","",""
"Hospital Practitioner / Clinical Assistant","17.6","269","1.6","25","0.5","8","1.5","23","77.1","1,181","1.7","26"
"Other and Local Hospital and Community Health Services Doctor Grades","22.7","273","2.3","28","1.6","19","2.9","35","68.0","817","2.4","29"
