"","2013/14","","2014/15","","2015/16","","2016/17","","2017/18","","2018/19",""
"Ethnicity","%","Sample size","%","Sample size","%","Sample size","%","Sample size","%","Sample size","%","Sample size"
"All","76","35,075","76","33,015","79","34,922","78","34,767","78","34,293","75","33,704"
"Asian","79","1,805","78","1,626","79","1,770","80","1,927","80","1,980","78","2,046"
"Bangladeshi","71","137","82","122","77","133","72","165","81","177","77","211"
"Chinese","77","168","78","134","81","171","79","180","78","163","87","177"
"Indian","83","759","81","665","81","712","81","757","82","783","79","776"
"Pakistani","72","397","72","385","75","425","76","492","76","491","73","505"
"Asian other","82","344","81","320","84","329","86","333","85","366","83","377"
"Black","71","946","71","894","73","882","71","999","76","943","70","913"
"Black African","75","555","77","523","79","518","76","611","77","567","76","576"
"Black Caribbean","62","346","60","314","62","303","60","311","71","315","56","277"
"Black other","?","45","65","57","63","61","69","77","82","61","61","60"
"Mixed","72","336","65","304","72","359","72","369","71","371","68","369"
"Mixed White/Asian","75","80","73","87","76","93","85","105","68","86","76","89"
"Mixed White/Black African","?","46","?","44","?","44","76","56","81","61","?","48"
"Mixed White/Black Caribbean","69","118","68","98","66","132","59","120","67","120","58","122"
"Mixed other","74","92","59","75","72","90","72","88","71","104","69","110"
"White","76","31,725","76","29,917","79","31,627","79","31,093","78","30,658","75","30,046"
"White British","76","29,836","76","28,209","78","29,685","78","28,831","78","28,420","75","27,718"
"White Irish","81","319","80","295","80","286","76","292","84","294","82","303"
"White Gypsy/Traveller","?","12","?","10","?","15","?","21","?","15","?","10"
"White other","81","1,558","82","1,403","85","1,641","83","1,949","83","1,929","81","2,015"
"Other","77","232","77","231","81","241","76","345","82","298","77","278"
"Arab","79","88","83","82","80","86","77","140","82","100","80","94"
"Any other","76","144","73","149","81","155","76","205","81","198","76","184"
