"","All","","Female","","Male",""
"Ethnicity","Rate per 1,000","Number of arrests","Rate per 1,000","Number of arrests","Rate per 1,000","Number of arrests"
"All","12","646,292","3","94,823","20","549,878"
"Asian","11","44,352","2","3,510","19","40,711"
"Bangladeshi","14","6,186","2","411","25","5,764"
"Chinese","3","1,092","1","271","4","810"
"Indian","6","7,925","1","754","10","7,148"
"Pakistani","14","16,068","2","1,093","26","14,910"
"Asian other","16","13,081","2","981","30","12,079"
"Black","29","54,193","6","5,470","54","48,655"
"Black African","21","20,740","4","1,949","39","18,754"
"Black Caribbean","28","16,445","5","1,690","53","14,738"
"Black other","61","17,008","13","1,831","107","15,163"
"Mixed","17","20,430","5","3,041","28","17,348"
"Mixed White/Asian","7","2,258","2","313","11","1,940"
"Mixed White/Black African","15","2,481","4","309","26","2,169"
"Mixed White/Black Caribbean","23","9,782","7","1,471","39","8,289"
"Mixed other","20","5,909","6","948","35","4,950"
"White","9","422,037","3","67,848","15","353,440"
"White British","8","372,116","3","61,486","14","310,012"
"White Irish","10","5,458","3","789","18","4,661"
"White Gypsy/Traveller","14","832","5","135","24","696"
"White other","18","43,631","4","5,438","32","38,071"
"Other","18","9,935","4","1,074","28","8,826"
"Arab","3","713","1","59","5","650"
"Any other","28","9,222","7","1,015","46","8,176"
"Unknown","NA","95,345","NA","13,880","NA","80,898"
