"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Age","FSM","Value","Value_type","Denominator","Numerator"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","England","Country","E92000001","All","6-7","All","76","%","666392","503928"
"Percentage of pupils reaching the higher standard in key stage 1 maths","All","All","2018-2019","Academic Year","England","Country","E92000001","All","6-7","All","22","%","666392","144831"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","England","Country","E92000001","All","6-7","FSM","61","%","107158","65354"
"Percentage of pupils reaching the higher standard in key stage 1 maths","All","All","2018-2019","Academic Year","England","Country","E92000001","All","6-7","FSM","11","%","107158","11949"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","England","Country","E92000001","All","6-7","Non-FSM","78","%","559234","438574"
"Percentage of pupils reaching the higher standard in key stage 1 maths","All","All","2018-2019","Academic Year","England","Country","E92000001","All","6-7","Non-FSM","24","%","559234","132882"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","England","Country","E92000001","Boys","6-7","All","75","%","341213","254282"
"Percentage of pupils reaching the higher standard in key stage 1 maths","All","All","2018-2019","Academic Year","England","Country","E92000001","Boys","6-7","All","24","%","341213","81626"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","England","Country","E92000001","Boys","6-7","FSM","59","%","55056","32756"
"Percentage of pupils reaching the higher standard in key stage 1 maths","All","All","2018-2019","Academic Year","England","Country","E92000001","Boys","6-7","FSM","12","%","55056","6774"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","England","Country","E92000001","Boys","6-7","Non-FSM","77","%","286157","221526"
"Percentage of pupils reaching the higher standard in key stage 1 maths","All","All","2018-2019","Academic Year","England","Country","E92000001","Boys","6-7","Non-FSM","26","%","286157","74852"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","England","Country","E92000001","Girls","6-7","All","77","%","325179","249646"
"Percentage of pupils reaching the higher standard in key stage 1 maths","All","All","2018-2019","Academic Year","England","Country","E92000001","Girls","6-7","All","19","%","325179","63205"
