"Ethnicity","Trust Type","%"
"All","England","84"
"All","Acute","84"
"All","Acute Specialist","84"
"All","Ambulance","73"
"All","Combined Acute and Community","85"
"All","Combined Mental Health / Learning Disability and Community","86"
"All","Community","89"
"All","Mental Health / Learning Disability","84"
"Other","England","71"
"Other","Acute","72"
"Other","Acute Specialist","70"
"Other","Ambulance","59"
"Other","Combined Acute and Community","71"
"Other","Combined Mental Health / Learning Disability and Community","72"
"Other","Community","70"
"Other","Mental Health / Learning Disability","70"
"White","England","87"
"White","Acute","87"
"White","Acute Specialist","87"
"White","Ambulance","74"
"White","Combined Acute and Community","88"
"White","Combined Mental Health / Learning Disability and Community","88"
"White","Community","91"
"White","Mental Health / Learning Disability","87"
