"","2012","2013","2014","2015","2016","2017","2018"
"Ethnicity","","","","","","",""
"All","7.45","7.49","7.58","7.65","7.67","7.69","7.70"
"Bangladeshi","7.25","7.36","7.59","7.60","7.50","7.51","7.53"
"Chinese","7.44","7.50","7.55","7.58","7.69","7.68","7.60"
"Indian","7.54","7.47","7.68","7.74","7.81","7.80","7.79"
"Pakistani","7.28","7.37","7.47","7.64","7.68","7.73","7.67"
"Asian other","7.42","7.50","7.56","7.61","7.64","7.69","7.78"
"Black","6.79","6.97","7.13","7.18","7.22","7.24","7.32"
"Mixed","7.10","7.35","7.10","7.39","7.42","7.42","7.35"
"White","7.48","7.52","7.60","7.67","7.69","7.71","7.72"
"White Gypsy /  Traveller","?","?","?","?","?","?","?"
"Arab","7.08","7.26","7.31","7.51","7.63","7.39","7.61"
"Other","7.13","7.36","7.50","7.48","7.64","7.59","7.54"
