"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Age","FSM","Value","Value_type","Denominator","Numerator"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and maths","All","All","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","All","65","%","644377","418104"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and maths","All","All","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","FSM","47","%","108849","51495"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and maths","All","All","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","Non-FSM","68","%","535528","366609"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and maths","All","All","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","All","60","%","328777","197953"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and maths","All","All","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","FSM","42","%","55727","23457"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and maths","All","All","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","Non-FSM","64","%","273050","174496"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and maths","All","All","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","All","70","%","315595","220151"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and maths","All","All","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","FSM","53","%","53122","28038"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and maths","All","All","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","Non-FSM","73","%","262473","192113"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and maths","All","All","2018-2019","Academic Year","England","Country","E92000001","Other"," 10-11","All","0","%","5","0"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and maths","All","All","2018-2019","Academic Year","England","Country","E92000001","Other"," 10-11","Non-FSM","0","%","5","0"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and maths","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","All","69","%","71476","49300"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and maths","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","FSM","58","%","10952","6406"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and maths","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","Non-FSM","71","%","60524","42894"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and maths","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","All","65","%","36521","23600"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and maths","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","FSM","53","%","5632","3004"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and maths","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","Non-FSM","67","%","30889","20596"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and maths","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","All","74","%","34955","25700"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and maths","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","FSM","64","%","5320","3402"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and maths","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","Non-FSM","75","%","29635","22298"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and maths","Asian Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","All","71","%","12136","8660"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and maths","Asian Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","FSM","58","%","1751","1007"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and maths","Asian Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","Non-FSM","74","%","10385","7653"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and maths","Asian Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","All","67","%","6190","4155"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and maths","Asian Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","FSM","52","%","908","473"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and maths","Asian Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","Non-FSM","70","%","5282","3682"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and maths","Asian Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","All","76","%","5946","4505"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and maths","Asian Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","FSM","63","%","843","534"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and maths","Asian Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","Non-FSM","78","%","5103","3971"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and maths","Bangladeshi","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","All","70","%","11063","7773"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and maths","Bangladeshi","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","FSM","66","%","2463","1625"
