"","All","","Asian","","Black","","Chinese","","Mixed","","White",""
"Local Authority ","%","Number","%","Number","%","Number","%","Number","%","Number","%","Number"
"Barking and Dagenham","67","2,270","75","515","69","760","86","6","66","175","60","761"
"Barnet","73","2,901","79","345","66","329","91","50","70","288","75","1,589"
"Barnsley","65","1,760","71","12","68","15","100","4","72","38","64","1,672"
"Bath and North East Somerset","66","1,256","64","18","33","4","57","4","63","63","67","1,156"
"Bedford","48","971","48","151","42","54","86","6","48","96","49","647"
"Bexley","70","2,231","86","216","75","455","97","29","69","161","66","1,321"
"Birmingham","61","9,524","63","3,607","60","1,230","77","50","59","786","59","3,253"
"Blackburn with Darwen","66","1,427","68","677","64","21","100","5","66","42","64","677"
"Blackpool","62","1,018","71","22","100","5","78","7","60","33","61","947"
"Bolton","66","2,478","68","605","56","127","92","12","72","110","66","1,587"
"Bournemouth","67","1,112","88","60","74","14","75","9","68","73","66","934"
"Bracknell Forest","64","874","74","63","63","29","100","3","67","56","63","714"
"Bradford","61","4,639","63","2,055","58","70","67","2","59","244","59","2,160"
"Brent","63","2,309","68","711","59","553","83","5","62","159","66","635"
"Brighton and Hove","67","1,768","65","60","57","30","91","10","66","196","68","1,418"
"Bristol, City of","63","2,922","55","210","51","288","85","22","59","215","67","2,150"
"Bromley","75","2,736","82","160","70","235","76","22","77","313","75","1,939"
"Buckinghamshire","66","4,051","69","703","59","98","80","16","64","288","66","2,882"
"Bury","64","1,465","52","177","59","33","80","4","61","72","66","1,152"
"Calderdale","62","1,622","62","250","63","10","0","0","54","51","62","1,296"
"Cambridgeshire","61","4,156","68","189","52","44","95","37","67","242","61","3,576"
"Camden","72","1,087","71","221","66","219","100","7","77","131","73","432"
"Central Bedfordshire","62","2,046","71","60","56","51","85","11","61","129","62","1,770"
"Cheshire East","68","2,735","72","51","53","10","73","11","73","115","68","2,519"
"Cheshire West and Chester","64","2,422","64","38","53","8","73","11","72","79","63","2,274"
"City of London","72","21","40","2","50","1","N/A","N/A","67","2","80","12"
"Cornwall","61","3,524","67","18","83","5","78","7","66","79","61","3,378"
"County Durham","68","3,766","80","28","44","7","77","10","79","56","68","3,638"
"Coventry","62","2,583","71","584","61","333","73","11","61","178","59","1,431"
"Croydon","67","3,006","76","542","64","864","87","20","68","450","66","1,038"
"Cumbria","65","3,318","81","29","43","3","79","11","65","41","65","3,194"
"Darlington","65","800","76","22","80","4","100","3","52","15","65","750"
"Derby","60","1,942","66","382","64","89","73","11","68","187","58","1,242"
"Derbyshire","64","5,257","68","63","58","18","73","19","63","142","64","4,977"
"Devon","64","4,999","77","33","44","7","86","12","73","131","64","4,747"
"Doncaster","60","2,114","62","64","47","21","88","14","60","62","61","1,929"
"Dorset","60","2,586","65","24","64","9","78","7","68","104","59","2,420"
"Dudley","58","2,108","62","266","53","49","60","6","56","130","58","1,618"
"Ealing","68","2,789","71","856","59","385","80","12","70","271","71","843"
"East Riding of Yorkshire","64","2,280","71","10","50","1","50","1","72","48","64","2,206"
