"","Child Benefit","Disability Living Allowance (care component)","Disability Living Allowance (mobility component)","State Pension"
"Ethnicity","%","%","%","%"
"All","19","7","6","25"
"Asian","28","5","3","9"
"Bangladeshi","34","10","5","10"
"Chinese","18","1","-","7"
"Indian","24","4","3","11"
"Pakistani","33","6","5","6"
"Asian other","28","3","2","8"
"Black","29","6","4","11"
"Mixed","25","5","4","7"
"White","18","8","6","27"
"White British","18","8","7","28"
"White other","22","3","2","9"
"Other","24","4","3","8"
