"Benefit","Ethnicity","%"
"Council Tax Reduction","All","13"
"Council Tax Reduction","Asian","11"
"Council Tax Reduction","Bangladeshi","23"
"Council Tax Reduction","Chinese","7"
"Council Tax Reduction","Indian","6"
"Council Tax Reduction","Pakistani","14"
"Council Tax Reduction","Asian other","13"
"Council Tax Reduction","Black","20"
"Council Tax Reduction","Mixed","15"
"Council Tax Reduction","White","13"
"Council Tax Reduction","White British","13"
"Council Tax Reduction","White other","7"
"Council Tax Reduction","Other","15"
"Housing Benefit","All","12"
"Housing Benefit","Asian","10"
"Housing Benefit","Bangladeshi","25"
"Housing Benefit","Chinese","4"
"Housing Benefit","Indian","4"
"Housing Benefit","Pakistani","11"
"Housing Benefit","Asian other","15"
"Housing Benefit","Black","24"
"Housing Benefit","Mixed","17"
"Housing Benefit","White","11"
"Housing Benefit","White British","12"
"Housing Benefit","White other","9"
"Housing Benefit","Other","18"
"Income Support","All","2"
"Income Support","Asian","2"
"Income Support","Bangladeshi","4"
"Income Support","Chinese","-"
"Income Support","Indian","1"
"Income Support","Pakistani","3"
"Income Support","Asian other","1"
"Income Support","Black","4"
"Income Support","Mixed","4"
"Income Support","White","2"
"Income Support","White British","2"
"Income Support","White other","1"
"Income Support","Other","2"
"Pension Credit","All","4"
"Pension Credit","Asian","3"
"Pension Credit","Bangladeshi","3"
"Pension Credit","Chinese","2"
"Pension Credit","Indian","3"
"Pension Credit","Pakistani","3"
"Pension Credit","Asian other","2"
"Pension Credit","Black","3"
"Pension Credit","Mixed","1"
"Pension Credit","White","4"
"Pension Credit","White British","4"
"Pension Credit","White other","2"
"Pension Credit","Other","1"
