"Ethnicity","Year","%","Starts"
"Asian","2011/12","4.0","20,720"
"Asian","2012/13","3.9","19,690"
"Asian","2013/14","4.3","18,600"
"Asian","2014/15","4.3","21,510"
"Asian","2015/16","4.3","21,380"
"Asian","2016/17","4.5","22,010"
"Asian","2017/18","4.7","17,430"
"Asian","2018/19","5.5","21,370"
"Black","2011/12","3.4","17,350"
"Black","2012/13","3.3","16,590"
"Black","2013/14","3.1","13,650"
"Black","2014/15","3.5","17,250"
"Black","2015/16","3.5","17,500"
"Black","2016/17","3.7","18,080"
"Black","2017/18","3.3","12,340"
"Black","2018/19","3.5","13,510"
"Mixed","2011/12","1.9","9,850"
"Mixed","2012/13","2.0","10,110"
"Mixed","2013/14","2.2","9,470"
"Mixed","2014/15","2.2","10,930"
"Mixed","2015/16","2.2","11,100"
"Mixed","2016/17","2.3","11,020"
"Mixed","2017/18","2.5","9,390"
"Mixed","2018/19","2.7","10,520"
"White","2011/12","90.1","464,960"
"White","2012/13","90.1","455,440"
"White","2013/14","89.7","391,480"
"White","2014/15","89.3","442,340"
"White","2015/16","89.4","448,830"
"White","2016/17","88.7","434,220"
"White","2017/18","88.6","327,720"
"White","2018/19","87.5","338,330"
"Other","2011/12","0.7","3,430"
"Other","2012/13","0.7","3,380"
"Other","2013/14","0.7","3,110"
"Other","2014/15","0.7","3,500"
"Other","2015/16","0.7","3,500"
"Other","2016/17","0.9","4,200"
"Other","2017/18","0.8","3,070"
"Other","2018/19","0.8","2,990"
