"Ethnicity","Local authority","%","Pupils"
"All","Barking and Dagenham","83","2,898"
"All","Barnet","85","3,570"
"All","Barnsley","77","2,182"
"All","Bath and North East Somerset","80","1,454"
"All","Bedford","72","1,560"
"All","Bexley","82","2,745"
"All","Birmingham","79","12,863"
"All","Blackburn with Darwen","82","1,798"
"All","Blackpool","80","1,334"
"All","Bolton","81","3,191"
"All","Bournemouth, Christchurch and Poole","79","3,019"
"All","Bracknell Forest","80","1,134"
"All","Bradford","78","6,171"
"All","Brent","84","3,065"
"All","Brighton and Hove","78","2,107"
"All","Bristol, City of","77","3,741"
"All","Bromley","83","3,103"
"All","Buckinghamshire","81","5,045"
"All","Bury","79","1,888"
"All","Calderdale","78","2,149"
"All","Cambridgeshire","76","5,387"
"All","Camden","84","1,296"
"All","Central Bedfordshire","73","2,549"
"All","Cheshire East","81","3,428"
"All","Cheshire West and Chester","79","3,165"
"All","City of London","100","28"
"All","Cornwall","73","4,285"
"All","County Durham","79","4,504"
"All","Coventry","79","3,470"
"All","Croydon","79","3,684"
"All","Cumbria","78","4,073"
"All","Darlington","79","1,014"
"All","Derby","75","2,493"
"All","Derbyshire","78","6,806"
"All","Devon","76","6,030"
"All","Doncaster","75","2,815"
"All","Dorset","76","2,954"
"All","Dudley","74","2,888"
"All","Ealing","86","3,742"
"All","East Riding of Yorkshire","78","2,863"
"All","East Sussex","73","3,993"
"All","Enfield","80","3,721"
"All","Essex","79","13,111"
"All","Gateshead","82","1,716"
"All","Gloucestershire","78","5,321"
"All","Greenwich","83","2,785"
"All","Hackney","78","2,022"
"All","Halton","75","1,199"
"All","Hammersmith and Fulham","84","1,107"
"All","Hampshire","79","11,671"
"All","Haringey","81","2,480"
"All","Harrow","89","2,606"
"All","Hartlepool","79","930"
"All","Havering","83","2,511"
"All","Herefordshire, County of","81","1,514"
"All","Hertfordshire","80","11,383"
"All","Hillingdon","84","3,294"
"All","Hounslow","85","2,800"
"All","Isle of Wight","70","903"
"All","Isles of Scilly","53","10"
"All","Islington","81","1,537"
"All","Kensington and Chelsea","88","835"
"All","Kent","77","13,845"
"All","Kingston upon Hull, City of","78","2,492"
"All","Kingston upon Thames","85","1,614"
"All","Kirklees","78","4,312"
"All","Knowsley","77","1,395"
"All","Lambeth","83","2,512"
"All","Lancashire","78","10,961"
"All","Leeds","76","7,133"
"All","Leicester","79","3,736"
"All","Leicestershire","80","6,133"
"All","Lewisham","80","2,765"
"All","Lincolnshire","75","6,165"
"All","Liverpool","76","3,952"
"All","Luton","80","2,591"
"All","Manchester","78","5,286"
"All","Medway","73","2,460"
"All","Merton","86","1,970"
"All","Middlesbrough","76","1,406"
"All","Milton Keynes","81","3,047"
"All","Newcastle upon Tyne","78","2,303"
"All","Newham","87","4,133"
"All","Norfolk","71","6,553"
"All","North East Lincolnshire","78","1,492"
"All","North Lincolnshire","78","1,533"
"All","North Somerset","76","1,829"
"All","North Tyneside","79","1,918"
"All","North Yorkshire","75","4,768"
"All","Northamptonshire","75","7,081"
"All","Northumberland","76","2,694"
"All","Nottingham","77","2,772"
"All","Nottinghamshire","78","7,245"
"All","Oldham","79","2,741"
"All","Oxfordshire","77","5,750"
"All","Peterborough","72","2,169"
"All","Plymouth","78","2,310"
"All","Portsmouth","73","1,621"
"All","Reading","78","1,470"
"All","Redbridge","86","3,492"
"All","Redcar and Cleveland","81","1,327"
"All","Richmond upon Thames","91","2,114"
"All","Rochdale","79","2,386"
"All","Rotherham","73","2,461"
"All","Rutland","84","334"
"All","Salford","79","2,360"
"All","Sandwell","78","3,712"
"All","Sefton","79","2,322"
"All","Sheffield","75","4,764"
"All","Shropshire","78","2,406"
"All","Slough","84","1,988"
"All","Solihull","83","2,174"
"All","Somerset","73","4,310"
"All","South Gloucestershire","78","2,581"
"All","South Tyneside","80","1,327"
"All","Southampton","74","2,091"
"All","Southend-on-Sea","80","1,759"
"All","Southwark","82","2,712"
"All","St. Helens","79","1,738"
"All","Staffordshire","79","7,702"
"All","Stockport","80","2,761"
"All","Stockton-on-Tees","81","2,037"
"All","Stoke-on-Trent","75","2,508"
"All","Suffolk","73","5,862"
"All","Sunderland","79","2,582"
"All","Surrey","82","10,207"
"All","Sutton","85","2,035"
"All","Swindon","78","2,260"
"All","Tameside","79","2,335"
"All","Telford and Wrekin","78","1,792"
"All","Thurrock","81","1,958"
"All","Torbay","74","1,074"
"All","Tower Hamlets","85","2,806"
"All","Trafford","86","2,600"
"All","Wakefield","76","3,058"
"All","Walsall","77","2,928"
"All","Waltham Forest","84","2,787"
"All","Wandsworth","83","1,981"
"All","Warrington","83","2,177"
"All","Warwickshire","79","5,013"
"All","West Berkshire","75","1,458"
"All","West Sussex","75","6,974"
"All","Westminster","86","1,224"
"All","Wigan","79","3,031"
"All","Wiltshire","76","4,075"
"All","Windsor and Maidenhead","78","1,236"
"All","Wirral","75","2,821"
"All","Wokingham","85","1,809"
"All","Wolverhampton","79","2,646"
"All","Worcestershire","75","4,601"
"All","York","78","1,543"
"Asian","Barking and Dagenham","89","681"
"Asian","Barnet","90","420"
