"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Age","FSM","Value","Value_type","Denominator","Numerator"
"Average scaled score in key stage 2 grammar, punctuation and spelling","All","All","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","All","106","NA","623393","66282330"
"Average scaled score in key stage 2 grammar, punctuation and spelling","All","All","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","FSM","103","NA","101589","10470440"
"Average scaled score in key stage 2 grammar, punctuation and spelling","All","All","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","Non-FSM","107","NA","521804","55811890"
"Average scaled score in key stage 2 grammar, punctuation and spelling","All","All","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","All","105","NA","314742","33135635"
"Average scaled score in key stage 2 grammar, punctuation and spelling","All","All","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","FSM","102","NA","50710","5171648"
"Average scaled score in key stage 2 grammar, punctuation and spelling","All","All","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","Non-FSM","106","NA","264032","27963987"
"Average scaled score in key stage 2 grammar, punctuation and spelling","All","All","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","All","107","NA","308649","33146519"
"Average scaled score in key stage 2 grammar, punctuation and spelling","All","All","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","FSM","104","NA","50879","5298792"
"Average scaled score in key stage 2 grammar, punctuation and spelling","All","All","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","Non-FSM","108","NA","257770","27847727"
"Average scaled score in key stage 2 grammar, punctuation and spelling","All","All","2018-2019","Academic Year","England","Country","E92000001","Other"," 10-11","All","88","NA","2","176"
"Average scaled score in key stage 2 grammar, punctuation and spelling","All","All","2018-2019","Academic Year","England","Country","E92000001","Other"," 10-11","Non-FSM","88","NA","2","176"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","All","109","NA","69308","7560998"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","FSM","107","NA","10404","1110550"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","Non-FSM","110","NA","58904","6450448"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","All","108","NA","35118","3797705"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","FSM","106","NA","5277","558118"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","Non-FSM","109","NA","29841","3239587"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","All","110","NA","34190","3763293"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","FSM","108","NA","5127","552432"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","Non-FSM","110","NA","29063","3210861"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Asian Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","All","110","NA","11735","1288287"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Asian Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","FSM","107","NA","1620","172680"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Asian Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","Non-FSM","110","NA","10115","1115607"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Asian Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","All","109","NA","5945","647478"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Asian Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","FSM","106","NA","830","87635"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Asian Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","Non-FSM","109","NA","5115","559843"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Asian Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","All","111","NA","5790","640809"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Asian Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","FSM","108","NA","790","85045"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Asian Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","Non-FSM","111","NA","5000","555764"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Bangladeshi","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","All","109","NA","10642","1165218"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Bangladeshi","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","FSM","108","NA","2330","252537"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Bangladeshi","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","Non-FSM","110","NA","8312","912681"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Bangladeshi","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","All","109","NA","5372","583234"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Bangladeshi","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","FSM","107","NA","1175","126181"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Bangladeshi","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","Non-FSM","109","NA","4197","457053"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Bangladeshi","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","All","110","NA","5270","581984"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Bangladeshi","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","FSM","109","NA","1155","126356"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Bangladeshi","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","Non-FSM","111","NA","4115","455628"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","All","108","NA","37120","3997859"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","FSM","106","NA","9439","1002656"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","Non-FSM","108","NA","27681","2995203"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","All","107","NA","18311","1952519"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","FSM","105","NA","4706","493997"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","Non-FSM","107","NA","13605","1458522"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","All","109","NA","18809","2045340"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","FSM","107","NA","4733","508659"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","Non-FSM","109","NA","14076","1536681"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","All","109","NA","25211","2738118"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","FSM","107","NA","6059","649892"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","Non-FSM","109","NA","19152","2088226"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","All","108","NA","12464","1341465"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","FSM","106","NA","3053","324015"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 10-11","Non-FSM","108","NA","9411","1017450"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","All","110","NA","12747","1396653"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","FSM","108","NA","3006","325877"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 10-11","Non-FSM","110","NA","9741","1070776"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Black Caribbean","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 10-11","All","105","NA","6874","722560"
