"Ethnicity","Expected standard","Higher standard","Average scaled score"
"All","78","36","106"
"Asian","85","50","109"
"Bangladeshi","87","51","109"
"Indian","90","60","111"
"Pakistani","82","41","107"
"Asian other","86","54","110"
"Black","82","42","108"
"Black African","84","47","109"
"Black Caribbean","74","29","105"
"Black other","78","37","107"
"Chinese","90","63","112"
"Mixed","80","39","107"
"Mixed White/Asian","85","46","108"
"Mixed White/Black African","80","39","107"
"Mixed White/Black Caribbean","74","28","105"
"Mixed other","81","42","108"
"White","77","33","106"
"White British","77","32","106"
"White Irish","82","40","107"
"Gypsy/Roma","29","5","96"
"Irish Traveller","37","8","98"
"White other","76","36","106"
"Other","77","41","107"
"Unknown","61","27","105"
