"gender","Ethnicity","%"
"Boys","All","80"
"Boys","Asian","79"
"Boys","Bangladeshi","78"
"Boys","Indian","85"
"Boys","Pakistani","74"
"Boys","Asian other","80"
"Boys","Black","77"
"Boys","Black African","78"
"Boys","Black Caribbean","74"
"Boys","Black other","74"
"Boys","Chinese","86"
"Boys","Mixed","81"
"Boys","Mixed White/Asian","85"
"Boys","Mixed White/Black African","81"
"Boys","Mixed White/Black Caribbean","77"
"Boys","Mixed other","82"
"Boys","White","81"
"Boys","White British","82"
"Boys","White Irish","83"
"Boys","Gypsy/Roma","37"
"Boys","Irish Traveller","38"
"Boys","White other","76"
"Boys","Other","73"
"Boys","Unknown","62"
"Girls","All","85"
"Girls","Asian","85"
"Girls","Bangladeshi","84"
"Girls","Indian","91"
"Girls","Pakistani","81"
"Girls","Asian other","86"
"Girls","Black","84"
"Girls","Black African","85"
"Girls","Black Caribbean","82"
"Girls","Black other","82"
"Girls","Chinese","91"
"Girls","Mixed","86"
"Girls","Mixed White/Asian","89"
"Girls","Mixed White/Black African","87"
"Girls","Mixed White/Black Caribbean","84"
"Girls","Mixed other","86"
"Girls","White","86"
"Girls","White British","87"
"Girls","White Irish","85"
"Girls","Gypsy/Roma","44"
"Girls","Irish Traveller","44"
"Girls","White other","82"
"Girls","Other","78"
"Girls","Unknown","67"
