"FSM","Ethnicity","%"
"FSM","All","69"
"FSM","Asian","74"
"FSM","Bangladeshi","78"
"FSM","Indian","79"
"FSM","Pakistani","71"
"FSM","Asian other","73"
"FSM","Black","76"
"FSM","Black African","77"
"FSM","Black Caribbean","72"
"FSM","Black other","74"
"FSM","Chinese","80"
"FSM","Mixed","73"
"FSM","Mixed White/Asian","75"
"FSM","Mixed White/Black African","76"
"FSM","Mixed White/Black Caribbean","71"
"FSM","Mixed other","74"
"FSM","White","67"
"FSM","White British","67"
"FSM","White Irish","63"
"FSM","Gypsy/Roma","43"
"FSM","Irish Traveller","34"
"FSM","White other","69"
"FSM","Other","67"
"FSM","Unknown","65"
"Non-FSM","All","85"
"Non-FSM","Asian","83"
"Non-FSM","Bangladeshi","81"
"Non-FSM","Indian","88"
"Non-FSM","Pakistani","78"
"Non-FSM","Asian other","84"
"Non-FSM","Black","82"
"Non-FSM","Black African","83"
"Non-FSM","Black Caribbean","80"
"Non-FSM","Black other","79"
"Non-FSM","Chinese","89"
"Non-FSM","Mixed","86"
"Non-FSM","Mixed White/Asian","89"
"Non-FSM","Mixed White/Black African","86"
"Non-FSM","Mixed White/Black Caribbean","84"
"Non-FSM","Mixed other","86"
"Non-FSM","White","86"
"Non-FSM","White British","87"
"Non-FSM","White Irish","88"
"Non-FSM","Gypsy/Roma","40"
"Non-FSM","Irish Traveller","50"
"Non-FSM","White other","80"
"Non-FSM","Other","78"
"Non-FSM","Unknown","64"
