"","Asian","Black","White","Other inc Mixed","Unknown"
"Year","Average number of reoffences","Average number of reoffences","Average number of reoffences","Average number of reoffences","Average number of reoffences"
"2006/07","2.91","3.09","3.29","2.83","2.68"
"2007/08","2.87","3.08","3.28","2.82","2.88"
"2008/09","2.83","2.97","3.26","2.78","2.86"
"2009/10","2.78","2.92","3.22","2.65","2.70"
"2010/11","2.86","3.02","3.32","2.99","2.86"
"2011/12","2.79","2.95","3.37","2.78","2.81"
"2012/13","2.96","3.08","3.51","2.86","2.72"
"2013/14","3.06","3.19","3.64","2.87","2.86"
"2014/15","3.15","3.35","3.75","3.02","3.00"
"2015/16","3.31","3.47","3.87","3.05","2.78"
"2016/17","3.33","3.59","4.12","3.46","3.08"
"2017/18","3.40","3.50","4.17","3.32","2.91"
