"Age","Ethnicity","%","Number of people economically inactive"
"All","All","21","8,468,400"
"All","Asian","31","999,100"
"All","Indian","21","253,000"
"All","Pakistani, Bangladeshi","39","492,900"
"All","Asian Other","31","253,200"
"All","Black","25","365,300"
"All","Mixed","26","136,900"
"All","White","20","6,699,800"
"All","White British","20","6,255,300"
"All","White Other","14","444,500"
"All","Other","32","258,600"
"16-24","All","39","2,607,100"
"16-24","Asian","58","374,000"
"16-24","Indian","56","95,200"
"16-24","Pakistani, Bangladeshi","56","176,800"
"16-24","Asian Other","64","101,900"
"16-24","Black","53","154,100"
"16-24","Mixed","48","79,300"
"16-24","White","35","1,905,600"
"16-24","White British","35","1,772,700"
"16-24","White Other","35","132,900"
"16-24","Other","63","92,400"
"25-49","All","13","2,710,400"
"25-49","Asian","22","452,300"
"25-49","Indian","13","101,700"
"25-49","Pakistani, Bangladeshi","31","240,900"
"25-49","Asian Other","22","109,600"
"25-49","Black","17","136,500"
"25-49","Mixed","13","36,800"
"25-49","White","11","1,959,300"
"25-49","White British","12","1,739,900"
"25-49","White Other","10","219,400"
"25-49","Other","24","121,300"
"50-64","All","26","3,150,900"
"50-64","Asian","30","172,900"
"50-64","Indian","23","56,000"
"50-64","Pakistani, Bangladeshi","42","75,200"
"50-64","Asian Other","28","41,600"
"50-64","Black","21","74,700"
"50-64","Mixed","30","20,700"
"50-64","White","25","2,834,900"
"50-64","White British","26","2,742,700"
"50-64","White Other","19","92,200"
"50-64","Other","30","44,900"
