"","Professionally qualified non-medical","","Support to clinical staff","","Managers and senior managers","","Infrastructure support",""
"Ethnicity","Female","Male","Female","Male","Female","Male","Female","Male"
"Average (mean) monthly basic pay per FTE (£)","","","","","","","",""
"All","2,709.00","2,759.00","1,603.00","1,603.00","4,679.00","5,198.00","1,908.00","2,064.00"
"Asian","2,540.00","2,634.00","1,551.00","1,556.00","4,241.00","4,790.00","1,912.00","2,025.00"
"Black","2,538.00","2,592.00","1,565.00","1,553.00","4,218.00","4,187.00","1,861.00","1,875.00"
"Mixed","2,575.00","2,672.00","1,566.00","1,585.00","4,341.00","4,772.00","1,950.00","1,984.00"
"White","2,748.00","2,799.00","1,610.00","1,615.00","4,698.00","5,218.00","1,909.00","2,080.00"
"Other","2,624.00","2,734.00","1,548.00","1,561.00","4,415.00","4,579.00","1,823.00","1,807.00"
"Unknown","2,624.00","2,698.00","1,602.00","1,646.00","5,111.00","5,903.00","1,933.00","2,171.00"
"Average pay for every £1 paid to White staff","","","","","","","",""
"All -","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"Asian -","0.92","0.94","0.96","0.96","0.90","0.92","1.00","0.97"
"Black -","0.92","0.93","0.97","0.96","0.90","0.80","0.97","0.90"
"Mixed -","0.94","0.95","0.97","0.98","0.92","0.91","1.02","0.95"
"White -","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"Other -","0.95","0.98","0.96","0.97","0.94","0.88","0.95","0.87"
"Unknown -","0.95","0.96","1.00","1.02","1.09","1.13","1.01","1.04"
