"Ethnicity","%","Pupils"
"All","16.7","523,626"
"Asian","22.6","55,737"
"Bangladeshi","19.0","9,384"
"Indian","32.5","14,575"
"Pakistani","15.3","22,840"
"Asian other","29.1","8,938"
"Black","15.1","28,949"
"Black African","17.9","18,358"
"Black Caribbean","9.1","6,933"
"Black other","12.2","3,658"
"Chinese","46.4","1,875"
"Mixed","18.8","24,646"
"Mixed White/Asian","26.7","5,537"
"Mixed White/Black African","16.5","2,936"
"Mixed White/Black Caribbean","10.2","7,093"
"Mixed other","21.4","9,080"
"White","15.7","396,680"
"White British","15.3","367,680"
"White Irish","25.6","1,646"
"Gypsy/Roma","0.6","1,107"
"Irish Traveller","0.0","111"
"White other","20.9","26,136"
"Other","21.3","8,573"
"Unknown","12.9","7,166"
