"Measure","Academic_Year","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type","ONS geography code","Gender","FSM","SEN","Admission_Basis","Type_of_school","Religious_character","Value","Value_Type","Denominator"
"Percentage entering the English Baccalaureate (EBacc)","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","All Pupils","All other pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","18.2","%","457261"
"Percentage entering the English Baccalaureate (EBacc)","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","Academies and free schools","All Pupils","17.8","%","360345"
"Percentage entering the English Baccalaureate (EBacc)","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","All Pupils","17","%","513356"
"Percentage entering the English Baccalaureate (EBacc)","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Church of England","17.9","%","29096"
"Percentage entering the English Baccalaureate (EBacc)","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Hindu","33.6","%","107"
"Percentage entering the English Baccalaureate (EBacc)","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Jewish","36.1","%","1357"
"Percentage entering the English Baccalaureate (EBacc)","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Muslim","40.3","%","883"
"Percentage entering the English Baccalaureate (EBacc)","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","No religious character","16.5","%","420980"
"Percentage entering the English Baccalaureate (EBacc)","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Other Christian Faith","22.9","%","9577"
"Percentage entering the English Baccalaureate (EBacc)","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Roman Catholic","19.2","%","49802"
"Percentage entering the English Baccalaureate (EBacc)","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Sikh","35.4","%","345"
"Percentage entering the English Baccalaureate (EBacc)","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","16.7","%","523626"
"Percentage entering the English Baccalaureate (EBacc)","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","Converter Academies","All Pupils","21.1","%","258093"
"Percentage entering the English Baccalaureate (EBacc)","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","Free schools","All Pupils","23.9","%","6037"
