"Ethnicity","Geography","%","Number of Respondents"
"All","East Midlands","60","21,553"
"All","East","62","24,874"
"All","London","64","17,442"
"All","North East","60","8,349"
"All","North West","61","26,571"
"All","South East","65","34,725"
"All","South West","67","20,556"
"All","West Midlands","58","17,282"
"All","Yorkshire and the Humber","61","14,380"
"Asian","East Midlands","56","732"
"Asian","East","54","716"
"Asian","London","56","2,058"
"Asian","North East","51","148"
"Asian","North West","53","1,028"
"Asian","South East","61","1,079"
"Asian","South West","48","161"
"Asian","West Midlands","52","918"
"Asian","Yorkshire and the Humber","53","435"
"Black","East Midlands","49","255"
"Black","East","65","286"
"Black","London","55","1,093"
"Black","North East","?","?"
"Black","North West","54","261"
"Black","South East","67","301"
"Black","South West","70","67"
"Black","West Midlands","54","243"
"Black","Yorkshire and the Humber","55","108"
"Chinese","East Midlands","64","69"
"Chinese","East","68","115"
"Chinese","London","60","311"
"Chinese","North East","63","48"
"Chinese","North West","65","122"
"Chinese","South East","54","151"
"Chinese","South West","?","?"
"Chinese","West Midlands","58","68"
"Chinese","Yorkshire and the Humber","?","?"
"Mixed","East Midlands","59","188"
"Mixed","East","68","248"
"Mixed","London","74","492"
"Mixed","North East","60","63"
"Mixed","North West","73","261"
"Mixed","South East","73","336"
"Mixed","South West","79","157"
"Mixed","West Midlands","64","162"
"Mixed","Yorkshire and the Humber","69","117"
"White British","East Midlands","62","18,670"
"White British","East","62","21,084"
"White British","London","68","9,229"
"White British","North East","61","7,580"
"White British","North West","62","22,963"
"White British","South East","66","29,466"
"White British","South West","67","18,736"
"White British","West Midlands","59","14,556"
"White British","Yorkshire and the Humber","62","12,772"
"White other","East Midlands","59","834"
"White other","East","65","1,412"
"White other","London","68","2,620"
"White other","North East","57","210"
"White other","North West","63","911"
"White other","South East","67","1,962"
"White other","South West","69","730"
"White other","West Midlands","64","621"
"White other","Yorkshire and the Humber","57","409"
"Other","East Midlands","48","95"
"Other","East","61","145"
"Other","London","58","426"
"Other","North East","?","?"
"Other","North West","54","154"
"Other","South East","66","208"
"Other","South West","52","66"
"Other","West Midlands","56","102"
"Other","Yorkshire and the Humber","53","96"
