"Tariff marker","Ethnicity","%","Number of entrants"
"High","Asian","32.7","25,905"
"High","Black","18.4","10,760"
"High","Mixed","37.4","10,700"
"High","White","36.0","210,370"
"High","Other","30.7","3,700"
"High","Unknown","40.8","6,420"
"Medium","Asian","35.9","28,425"
"Medium","Black","30.4","17,795"
"Medium","Mixed","29.0","8,295"
"Medium","White","31.5","183,870"
"Medium","Other","32.3","3,905"
"Medium","Unknown","28.2","4,440"
"Low","Asian","29.2","23,120"
"Low","Black","48.5","28,390"
"Low","Mixed","29.7","8,505"
"Low","White","26.1","152,525"
"Low","Other","34.4","4,145"
"Low","Unknown","25.2","3,960"
"Other","Asian","2.2","1,770"
"Other","Black","2.7","1,575"
"Other","Mixed","3.9","1,105"
"Other","White","6.4","37,200"
"Other","Other","2.7","320"
"Other","Unknown","5.8","910"
