"","2018/19","2019/20","2020/21"
"Ethnicity","Number per 100,000","Number per 100,000","Number per 100,000"
"All","4,013","4,173","4,063"
"Asian","3,458","3,636","3,570"
"Bangladeshi","4,234","4,668","4,562"
"Indian","2,544","2,702","2,705"
"Pakistani","4,268","4,459","4,364"
"Asian other","4,146","4,236","4,088"
"Black","4,832","5,098","5,125"
"Black African","3,261","3,485","3,900"
"Black Caribbean","4,891","5,099","5,068"
"Black other","11,580","12,440","11,602"
"Mixed","7,950","7,147","7,569"
"Mixed White/Asian","3,145","3,483","3,557"
"Mixed White/Black African","4,602","5,098","5,268"
"Mixed White/Black Caribbean","4,601","5,013","5,139"
"Mixed other","18,758","14,836","16,092"
"White","4,010","4,180","4,042"
"White British","4,013","4,166","4,041"
"White Irish","3,620","3,904","3,772"
"White other","5,621","6,361","5,764"
"Other inc Chinese","7,327","7,402","7,797"
"Chinese","1,612","1,691","1,631"
"Any other","17,966","18,098","19,239"
