"Time","Ethnicity","Number per 100,000"
"2018/19","All","4,013"
"2018/19","Asian","3,458"
"2018/19","Bangladeshi","4,234"
"2018/19","Indian","2,544"
"2018/19","Pakistani","4,268"
"2018/19","Asian other","4,146"
"2018/19","Black","4,832"
"2018/19","Black African","3,261"
"2018/19","Black Caribbean","4,891"
"2018/19","Black other","11,580"
"2018/19","Mixed","7,950"
"2018/19","Mixed White/Asian","3,145"
"2018/19","Mixed White/Black African","4,602"
"2018/19","Mixed White/Black Caribbean","4,601"
"2018/19","Mixed other","18,758"
"2018/19","White","4,010"
"2018/19","White British","4,013"
"2018/19","White Irish","3,620"
"2018/19","White other","5,621"
"2018/19","Other inc Chinese","7,327"
"2018/19","Chinese","1,612"
"2018/19","Any other","17,966"
"2019/20","All","4,173"
"2019/20","Asian","3,636"
"2019/20","Bangladeshi","4,668"
"2019/20","Indian","2,702"
"2019/20","Pakistani","4,459"
"2019/20","Asian other","4,236"
"2019/20","Black","5,098"
"2019/20","Black African","3,485"
"2019/20","Black Caribbean","5,099"
"2019/20","Black other","12,440"
"2019/20","Mixed","7,147"
"2019/20","Mixed White/Asian","3,483"
"2019/20","Mixed White/Black African","5,098"
"2019/20","Mixed White/Black Caribbean","5,013"
"2019/20","Mixed other","14,836"
"2019/20","White","4,180"
"2019/20","White British","4,166"
"2019/20","White Irish","3,904"
"2019/20","White other","6,361"
"2019/20","Other inc Chinese","7,402"
"2019/20","Chinese","1,691"
"2019/20","Any other","18,098"
"2020/21","All","4,063"
"2020/21","Asian","3,570"
"2020/21","Bangladeshi","4,562"
"2020/21","Indian","2,705"
"2020/21","Pakistani","4,364"
"2020/21","Asian other","4,088"
"2020/21","Black","5,125"
"2020/21","Black African","3,900"
"2020/21","Black Caribbean","5,068"
"2020/21","Black other","11,602"
"2020/21","Mixed","7,569"
"2020/21","Mixed White/Asian","3,557"
"2020/21","Mixed White/Black African","5,268"
"2020/21","Mixed White/Black Caribbean","5,139"
"2020/21","Mixed other","16,092"
"2020/21","White","4,042"
"2020/21","White British","4,041"
"2020/21","White Irish","3,772"
"2020/21","White other","5,764"
"2020/21","Other inc Chinese","7,797"
"2020/21","Chinese","1,631"
"2020/21","Any other","19,239"
