"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Value","Value_type","Lower CI","Upper CI","Numerator","Denominator"
"Number of people (per 100,000) using NHS mental health, learning disability and autism services","2020/21","Financial year","All","ONS 16+1","England","4062.501839","per 100,000","N/A","N/A","2153632","53012456"
"Number of people (per 100,000) using NHS mental health, learning disability and autism services","2020/21","Financial year","White","ONS 5+1","England","4041.60209","per 100,000","4035.853918","4047.350262","1822084","45281142"
"Number of people (per 100,000) using NHS mental health, learning disability and autism services","2020/21","Financial year","White British","ONS 16+1","England","4041.180806","per 100,000","4035.213283","4047.148329","1697353","42279236"
"Number of people (per 100,000) using NHS mental health, learning disability and autism services","2020/21","Financial year","White Irish","ONS 16+1","England","3772.174323","per 100,000","3703.095375","3841.253271","17208","517001"
"Number of people (per 100,000) using NHS mental health, learning disability and autism services","2020/21","Financial year","White other","ONS 16+1","England","5763.63008","per 100,000","5726.017379","5801.242781","107523","2430010"
"Number of people (per 100,000) using NHS mental health, learning disability and autism services","2020/21","Financial year","Mixed","ONS 5+1","England","7569.035736","per 100,000","7491.437506","7646.633966","76197","1192879"
"Number of people (per 100,000) using NHS mental health, learning disability and autism services","2020/21","Financial year","Mixed White and Black Caribbean","ONS 16+1","England","5139.171204","per 100,000","5038.019744","5240.322664","20658","415616"
"Number of people (per 100,000) using NHS mental health, learning disability and autism services","2020/21","Financial year","Mixed White and Black African","ONS 16+1","England","5267.709703","per 100,000","5075.056764","5460.362642","7666","161550"
"Number of people (per 100,000) using NHS mental health, learning disability and autism services","2020/21","Financial year","Mixed White and Asian","ONS 16+1","England","3557.207022","per 100,000","3459.62946","3654.784584","11255","332708"
"Number of people (per 100,000) using NHS mental health, learning disability and autism services","2020/21","Financial year","Mixed other","ONS 16+1","England","16092.49983","per 100,000","15888.87773","16296.12193","36618","283005"
