"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Role","Duty","value","value_type","count"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2011","Year","England","FRA","Firefighters","All","0.5","Percent","212"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2012","Year","England","FRA","Firefighters","All","0.5","Percent","196"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2013","Year","England","FRA","Firefighters","All","0.5","Percent","200"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2014","Year","England","FRA","Firefighters","All","0.5","Percent","176"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2015","Year","England","FRA","Firefighters","All","0.6","Percent","200"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2016","Year","England","FRA","Firefighters","All","0.6","Percent","186"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2017","Year","England","FRA","Firefighters","All","0.5","Percent","170"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2018","Year","England","FRA","Firefighters","All","0.6","Percent","203"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2019","Year","England","FRA","Firefighters","All","0.7","Percent","219"
"Fire and rescue service workforce","Asian","ONS 2001 5 + 1","2020","Year","England","FRA","Firefighters","All","0.7","Percent","215"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2011","Year","England","FRA","Firefighters","All","1.3","Percent","519"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2012","Year","England","FRA","Firefighters","All","1.4","Percent","540"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2013","Year","England","FRA","Firefighters","All","1.4","Percent","506"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2014","Year","England","FRA","Firefighters","All","1.3","Percent","483"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2015","Year","England","FRA","Firefighters","All","1.3","Percent","451"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2016","Year","England","FRA","Firefighters","All","1.3","Percent","448"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2017","Year","England","FRA","Firefighters","All","1.3","Percent","430"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2018","Year","England","FRA","Firefighters","All","1.3","Percent","420"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2019","Year","England","FRA","Firefighters","All","1.3","Percent","427"
"Fire and rescue service workforce","Black","ONS 2001 5 + 1","2020","Year","England","FRA","Firefighters","All","1.3","Percent","422"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2011","Year","England","FRA","Firefighters","All","1.2","Percent","473"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2012","Year","England","FRA","Firefighters","All","1.3","Percent","504"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2013","Year","England","FRA","Firefighters","All","1.4","Percent","506"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2014","Year","England","FRA","Firefighters","All","1.4","Percent","501"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2015","Year","England","FRA","Firefighters","All","1.5","Percent","492"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2016","Year","England","FRA","Firefighters","All","1.5","Percent","497"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2017","Year","England","FRA","Firefighters","All","1.6","Percent","512"
"Fire and rescue service workforce","Mixed","ONS 2001 5 + 1","2018","Year","England","FRA","Firefighters","All","1.7","Percent","531"
