"Measure","Ethnicity","Time","Time_Type","Geography_Code","Geography","Geography_Type","Value","%"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","201","City of London","LA","0","0"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","202","Camden","LA","6","8"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","203","Greenwich","LA","26","9"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","204","Hackney","LA","12","8"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","205","Hammersmith and Fulham","LA","c","c"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","206","Islington","LA","11","6"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","207","Kensington and Chelsea","LA","c","c"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","208","Lambeth","LA","c","c"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","209","Lewisham","LA","24","13"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","210","Southwark","LA","12","8"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","211","Tower Hamlets","LA","15","13"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","212","Wandsworth","LA","14","9"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","213","Westminster","LA","c","c"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","301","Barking and Dagenham","LA","33","10"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","302","Barnet","LA","22","12"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","303","Bexley","LA","22","11"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","304","Brent","LA","11","9"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","305","Bromley","LA","28","12"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","306","Croydon","LA","29","6"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","307","Ealing","LA","15","11"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","308","Enfield","LA","19","8"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","309","Haringey","LA","17","9"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","310","Harrow","LA","14","11"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","311","Havering","LA","22","9"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","312","Hillingdon","LA","20","10"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","313","Hounslow","LA","21","12"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","314","Kingston upon Thames","LA","7","8"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","315","Merton","LA","15","16"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","316","Newham","LA","11","7"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","317","Redbridge","LA","8","7"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","318","Richmond upon Thames","LA","7","7"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","319","Sutton","LA","27","13"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","320","Waltham Forest","LA","8","6"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","330","Birmingham","LA","141","18"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","331","Coventry","LA","68","15"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","332","Dudley","LA","77","19"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","333","Sandwell","LA","74","22"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","334","Solihull","LA","23","10"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","335","Walsall","LA","64","16"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","336","Wolverhampton","LA","76","29"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","340","Knowsley","LA","27","12"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","341","Liverpool","LA","102","14"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","342","St. Helens","LA","55","17"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","343","Sefton","LA","47","12"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","344","Wirral","LA","83","14"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","350","Bolton","LA","98","24"
"Number of White children leaving care who are adopted","White","2017-20","3 Year","351","Bury","LA","28","11"
