"Measure","Gender","Ethnicity","Ethnicity_Type","Age","Time","Time_Type","Count","Value","Value_Type","Geography"
"Percentage of looked after children","All","All","ONS 5+1","All","2018","Year to 31st March","104,250","100","%","England"
"Percentage of looked after children","Male","All","ONS 5+1","All","2018","Year to 31st March","58,700","56","%","England"
"Percentage of looked after children","Female","All","ONS 5+1","All","2018","Year to 31st March","45,550","44","%","England"
"Percentage of looked after children","All","White","ONS 5+1","All","2018","Year to 31st March","75,660","73","%","England"
"Percentage of looked after children","Male","White","ONS 5+1","All","2018","Year to 31st March","40,840","39","%","England"
"Percentage of looked after children","Female","White","ONS 5+1","All","2018","Year to 31st March","34,820","33","%","England"
"Percentage of looked after children","All","Mixed","ONS 5+1","All","2018","Year to 31st March","9,810","9","%","England"
"Percentage of looked after children","Male","Mixed","ONS 5+1","All","2018","Year to 31st March","5,240","5","%","England"
"Percentage of looked after children","Female","Mixed","ONS 5+1","All","2018","Year to 31st March","4,580","4","%","England"
"Percentage of looked after children","All","Asian","ONS 5+1","All","2018","Year to 31st March","5,350","5","%","England"
"Percentage of looked after children","Male","Asian","ONS 5+1","All","2018","Year to 31st March","3,420","3","%","England"
"Percentage of looked after children","Female","Asian","ONS 5+1","All","2018","Year to 31st March","1,930","2","%","England"
"Percentage of looked after children","All","Black","ONS 5+1","All","2018","Year to 31st March","8,520","8","%","England"
"Percentage of looked after children","Male","Black","ONS 5+1","All","2018","Year to 31st March","5,440","5","%","England"
"Percentage of looked after children","Female","Black","ONS 5+1","All","2018","Year to 31st March","3,080","3","%","England"
"Percentage of looked after children","All","Other","ONS 5+1","All","2018","Year to 31st March","4,240","4","%","England"
"Percentage of looked after children","Male","Other","ONS 5+1","All","2018","Year to 31st March","3,400","3","%","England"
"Percentage of looked after children","Female","Other","ONS 5+1","All","2018","Year to 31st March","840","1","%","England"
"Percentage of looked after children","All","Unknown","ONS 5+1","All","2018","Year to 31st March","660","1","%","England"
"Percentage of looked after children","Male","Unknown","ONS 5+1","All","2018","Year to 31st March","360","~0","%","England"
"Percentage of looked after children","Female","Unknown","ONS 5+1","All","2018","Year to 31st March","300","~0","%","England"
"Percentage of looked after children who were adopted","All","All","ONS 5+1","All","2018","Year to 31st March","3,850","100","%","England"
"Percentage of looked after children who were adopted","Male","All","ONS 5+1","All","2018","Year to 31st March","2,030","53","%","England"
"Percentage of looked after children who were adopted","Female","All","ONS 5+1","All","2018","Year to 31st March","1,820","47","%","England"
"Percentage of looked after children who were adopted","All","White","ONS 5+1","All","2018","Year to 31st March","3,230","84","%","England"
"Percentage of looked after children who were adopted","Male","White","ONS 5+1","All","2018","Year to 31st March","1,690","44","%","England"
"Percentage of looked after children who were adopted","Female","White","ONS 5+1","All","2018","Year to 31st March","1,530","40","%","England"
"Percentage of looked after children who were adopted","All","Mixed","ONS 5+1","All","2018","Year to 31st March","380","10","%","England"
"Percentage of looked after children who were adopted","Male","Mixed","ONS 5+1","All","2018","Year to 31st March","200","5","%","England"
"Percentage of looked after children who were adopted","Female","Mixed","ONS 5+1","All","2018","Year to 31st March","180","5","%","England"
"Percentage of looked after children who were adopted","All","Asian","ONS 5+1","All","2018","Year to 31st March","50","1","%","England"
"Percentage of looked after children who were adopted","Male","Asian","ONS 5+1","All","2018","Year to 31st March","30","1","%","England"
"Percentage of looked after children who were adopted","Female","Asian","ONS 5+1","All","2018","Year to 31st March","20","1","%","England"
"Percentage of looked after children who were adopted","All","Black","ONS 5+1","All","2018","Year to 31st March","70","2","%","England"
"Percentage of looked after children who were adopted","Male","Black","ONS 5+1","All","2018","Year to 31st March","40","1","%","England"
"Percentage of looked after children who were adopted","Female","Black","ONS 5+1","All","2018","Year to 31st March","30","1","%","England"
"Percentage of looked after children who were adopted","All","Other","ONS 5+1","All","2018","Year to 31st March","50","1","%","England"
"Percentage of looked after children who were adopted","Male","Other","ONS 5+1","All","2018","Year to 31st March","30","1","%","England"
"Percentage of looked after children who were adopted","Female","Other","ONS 5+1","All","2018","Year to 31st March","20","1","%","England"
"Percentage of looked after children who were adopted","All","Unknown","ONS 5+1","All","2018","Year to 31st March","80","2","%","England"
"Percentage of looked after children who were adopted","Male","Unknown","ONS 5+1","All","2018","Year to 31st March","40","1","%","England"
"Percentage of looked after children who were adopted","Female","Unknown","ONS 5+1","All","2018","Year to 31st March","40","1","%","England"
"Percentage of looked after children","All","All","ONS 5+1","All","2019","Year to 31st March","106,630","100","%","England"
"Percentage of looked after children","Male","All","ONS 5+1","All","2019","Year to 31st March","60,180","56","%","England"
"Percentage of looked after children","Female","All","ONS 5+1","All","2019","Year to 31st March","46,450","44","%","England"
"Percentage of looked after children","All","White","ONS 5+1","All","2019","Year to 31st March","76,940","72","%","England"
"Percentage of looked after children","Male","White","ONS 5+1","All","2019","Year to 31st March","41,560","39","%","England"
"Percentage of looked after children","Female","White","ONS 5+1","All","2019","Year to 31st March","35,380","33","%","England"
"Percentage of looked after children","All","Mixed","ONS 5+1","All","2019","Year to 31st March","10,280","10","%","England"
"Percentage of looked after children","Male","Mixed","ONS 5+1","All","2019","Year to 31st March","5,520","5","%","England"
"Percentage of looked after children","Female","Mixed","ONS 5+1","All","2019","Year to 31st March","4,760","4","%","England"
"Percentage of looked after children","All","Asian","ONS 5+1","All","2019","Year to 31st March","5,340","5","%","England"
"Percentage of looked after children","Male","Asian","ONS 5+1","All","2019","Year to 31st March","3,310","3","%","England"
"Percentage of looked after children","Female","Asian","ONS 5+1","All","2019","Year to 31st March","2,020","2","%","England"
"Percentage of looked after children","All","Black","ONS 5+1","All","2019","Year to 31st March","8,940","8","%","England"
"Percentage of looked after children","Male","Black","ONS 5+1","All","2019","Year to 31st March","5,880","6","%","England"
"Percentage of looked after children","Female","Black","ONS 5+1","All","2019","Year to 31st March","3,060","3","%","England"
"Percentage of looked after children","All","Other","ONS 5+1","All","2019","Year to 31st March","4,410","4","%","England"
"Percentage of looked after children","Male","Other","ONS 5+1","All","2019","Year to 31st March","3,500","3","%","England"
"Percentage of looked after children","Female","Other","ONS 5+1","All","2019","Year to 31st March","910","1","%","England"
"Percentage of looked after children","All","Unknown","ONS 5+1","All","2019","Year to 31st March","740","1","%","England"
"Percentage of looked after children","Male","Unknown","ONS 5+1","All","2019","Year to 31st March","410","~0","%","England"
"Percentage of looked after children","Female","Unknown","ONS 5+1","All","2019","Year to 31st March","320","~0","%","England"
"Percentage of looked after children who were adopted","All","All","ONS 5+1","All","2019","Year to 31st March","3,590","100","%","England"
"Percentage of looked after children who were adopted","Male","All","ONS 5+1","All","2019","Year to 31st March","1,890","52","%","England"
"Percentage of looked after children who were adopted","Female","All","ONS 5+1","All","2019","Year to 31st March","1,730","48","%","England"
