"","Nursery and Primary","","Secondary","","Special","","Centrally employed",""
"Ethnicity","%","Teachers","%","Teachers","%","Teachers","%","Teachers"
"Asian","","","","","","","",""
"Bangladeshi","0.6","1,300","0.8","1,600","0.2","100","0.3","!"
"Indian","1.7","3,900","2.3","4,700","1.0","200","0.9","!"
"Pakistani","1.1","2,500","1.5","3,000","0.5","100","0.4","!"
"Asian other","0.5","1,100","0.9","1,900","0.5","100","0.4","!"
"Black","","","","","","","",""
"Black African","0.5","1,100","1.4","2,800","1.0","200","0.2","!"
"Black Caribbean","0.9","2,000","1.2","2,500","1.4","300","0.8","!"
"Black other","0.2","600","0.4","900","0.4","100","0.3","!"
"Mixed","","","","","","","",""
"Mixed White/Asian","0.3","800","0.4","800","0.3","100","0.4","!"
"Mixed White/Black African","0.1","300","0.2","300","0.2","!","0.1","!"
"Mixed White/Black Caribbean","0.4","800","0.4","800","0.4","100","0.3","!"
"Mixed other","0.5","1,100","0.6","1,200","0.5","100","0.5","!"
"White","","","","","","","",""
"White British","88.6","205,900","82.2","165,800","86.1","20,900","89.8","3,300"
"White Irish","1.3","2,900","1.8","3,600","1.4","300","1.0","!"
"White other","2.9","6,700","4.8","9,600","5.6","1,400","4.0","100"
"Other inc Chinese","","","","","","","",""
"Chinese","0.1","300","0.3","500","0.1","!","0.1","!"
"Any other","0.4","1,000","0.8","1,700","0.6","100","0.5","!"
"Unknown","N/A","16,800","N/A","19,000","N/A","2,100","N/A","1,000"
