"","Men","","Women",""
"Ethnicity","%","Teachers","%","Teachers"
"Asian","","","",""
"Bangladeshi","0.7","800","0.6","2,200"
"Indian","1.5","1,700","2.1","7,200"
"Pakistani","1.1","1,300","1.3","4,400"
"Asian other","0.7","800","0.7","2,400"
"Black","","","",""
"Black African","1.4","1,500","0.8","2,600"
"Black Caribbean","1.0","1,100","1.1","3,800"
"Black other","0.4","400","0.3","1,100"
"Mixed","","","",""
"Mixed White/Asian","0.4","400","0.3","1,200"
"Mixed White/Black African","0.2","200","0.1","500"
"Mixed White/Black Caribbean","0.4","400","0.4","1,300"
"Mixed other","0.5","600","0.5","1,900"
"White","","","",""
"White British","85.8","95,600","85.7","300,300"
"White Irish","1.8","2,000","1.4","4,900"
"White other","3.3","3,700","4.0","14,000"
"Other inc Chinese","","","",""
"Chinese","0.2","200","0.2","600"
"Any other","0.6","700","0.6","2,100"
"Unknown","N/A","10,000","N/A","28,800"
