"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography code","Gender","Age","Socio-economic classification","Household income","Value","Value_type","Sample size"
"Confidence in police - Crime Survey England and Wales","All","ONS 2011  5 + 1","2017/18","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","78.4","%","34293"
"Confidence in police - Crime Survey England and Wales","White","ONS 2011  5 + 1","2017/18","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","78.4","%","30658"
"Confidence in police - Crime Survey England and Wales","White British","ONS 2011 18 + 1","2017/18","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","77.9","%","28420"
"Confidence in police - Crime Survey England and Wales","White Irish","ONS 2011 18 + 1","2017/18","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","84.3","%","294"
"Confidence in police - Crime Survey England and Wales","Gypsy or Irish traveller","ONS 2011 18 + 1","2017/18","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","?","%","15"
"Confidence in police - Crime Survey England and Wales","Any other white background","ONS 2011 18 + 1","2017/18","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","83.1","%","1929"
"Confidence in police - Crime Survey England and Wales","Mixed","ONS 2011  5 + 1","2017/18","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","70.6","%","371"
"Confidence in police - Crime Survey England and Wales","Mixed white and black caribbean","ONS 2011 18 + 1","2017/18","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","67.3","%","120"
"Confidence in police - Crime Survey England and Wales","Mixed white and black african","ONS 2011 18 + 1","2017/18","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","80.5","%","61"
"Confidence in police - Crime Survey England and Wales","Mixed white and asian","ONS 2011 18 + 1","2017/18","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","68.1","%","86"
"Confidence in police - Crime Survey England and Wales","Any other mixed/multiple ethnic background","ONS 2011 18 + 1","2017/18","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","71","%","104"
"Confidence in police - Crime Survey England and Wales","Asian","ONS 2011  5 + 1","2017/18","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","80.4","%","1980"
