"","All","","","Asian","","","Black","","","Chinese","","","Mixed","","","White","",""
"Geography","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls"
"All - England","46.6","43.9","49.4","50.7","48.3","53.1","45.3","41.7","48.8","64.5","62.3","66.5","47.4","44.7","50.2","46.1","43.5","48.9"
"Barking and Dagenham","46.1","43.3","49.1","53.9","50.4","57.5","47.1","43.1","51.4","79.3","N/A","79.3","42.4","36.8","46.9","41.9","40.6","43.4"
"Barnet","56.0","53.1","59.1","67.8","68.1","67.5","47.1","42.7","52.1","72.0","68.5","75.0","55.0","51.3","58.8","55.4","52.1","58.8"
"Barnsley","42.5","39.2","45.8","51.8","39.8","63.9","36.8","30.0","45.8","N/A","N/A","N/A","47.6","45.8","49.2","42.4","39.2","45.6"
"Bath and North East Somerset","48.7","45.0","52.4","57.0","53.9","59.3","40.8","39.0","42.6","72.0","60.5","79.7","48.9","47.2","50.4","49.0","45.0","52.9"
"Bedford","45.8","43.5","48.4","45.1","43.0","47.5","47.7","47.6","47.8","64.5","64.5","N/A","41.7","37.8","46.8","46.3","44.0","48.8"
"Bexley","49.6","46.9","52.3","58.6","57.5","59.9","54.8","49.5","59.3","66.0","59.8","71.2","48.4","46.2","50.5","46.7","44.7","48.7"
"Birmingham","45.8","42.9","48.8","46.9","45.0","48.8","43.3","39.6","47.3","75.0","75.9","74.0","45.1","42.1","48.2","45.8","42.3","49.6"
"Blackburn with Darwen","45.8","43.4","48.3","49.7","46.7","52.9","35.6","36.0","35.0","65.3","N/A","65.3","41.6","35.3","47.0","42.5","40.8","44.2"
"Blackpool","38.5","35.8","41.5","47.3","43.2","52.2","37.4","39.0","35.0","60.5","59.0","63.5","43.8","39.8","47.5","38.1","35.5","41.1"
"Bolton","44.6","41.4","48.0","50.3","46.2","54.8","44.0","39.5","48.5","61.6","N/A","61.6","41.3","39.6","43.0","43.1","40.3","46.2"
"Bournemouth","50.0","46.4","53.6","56.9","52.8","62.1","47.1","49.5","45.4","70.6","66.2","74.0","50.3","49.7","51.2","49.7","45.8","53.5"
"Bracknell Forest","48.1","46.3","49.9","54.1","58.0","49.9","47.3","37.6","54.6","57.0","N/A","57.0","49.3","51.7","45.9","47.7","45.4","49.9"
"Bradford","42.7","40.2","45.3","44.3","42.0","46.7","38.7","36.6","40.7","58.8","73.0","51.8","39.5","38.9","40.2","41.8","39.0","44.9"
"Brent","49.9","47.7","52.2","52.0","49.7","54.5","44.5","40.7","47.9","62.2","62.2","N/A","49.7","45.5","54.8","47.4","45.6","49.6"
"Brighton and Hove","48.0","45.8","50.3","51.2","51.1","51.2","42.1","39.8","43.9","57.7","55.0","60.0","48.4","43.8","53.2","48.0","45.9","50.1"
"Bristol, City of","45.5","41.9","49.0","48.0","43.9","52.2","40.6","38.4","42.8","61.7","60.8","62.0","45.7","43.0","48.3","46.0","42.2","49.6"
"Bromley","50.3","46.6","53.9","68.7","69.3","68.3","51.0","46.5","54.4","74.7","74.2","75.1","51.2","50.0","52.2","49.6","46.2","53.4"
"Buckinghamshire","55.0","53.2","57.0","56.2","55.3","57.3","53.1","49.2","56.8","64.2","60.4","66.6","54.6","56.0","53.1","54.7","52.5","57.1"
"Bury","45.2","43.4","47.0","46.9","45.3","48.6","40.0","40.6","38.9","56.2","59.4","53.0","42.0","40.3","44.0","45.0","43.1","47.0"
"Calderdale","49.4","46.5","52.4","48.2","44.6","52.1","48.3","44.7","50.9","64.1","60.8","74.0","49.6","49.3","49.9","49.7","46.7","52.6"
"Cambridgeshire","48.0","45.4","50.7","53.0","51.8","54.2","42.5","41.5","43.5","65.5","72.0","59.0","53.4","52.1","54.8","48.0","45.2","50.9"
"Camden","48.0","42.0","52.4","46.6","42.9","50.0","44.2","37.9","48.4","53.1","37.0","66.6","46.7","39.9","50.8","51.0","43.7","56.2"
"Central Bedfordshire","45.2","42.4","48.0","47.0","43.9","50.3","45.9","44.1","47.2","57.4","42.1","69.7","42.7","38.1","46.8","45.2","42.6","47.9"
"Cheshire East","48.8","46.2","51.4","50.7","47.0","54.5","44.0","31.2","56.8","71.3","70.8","71.9","47.5","43.0","54.0","48.8","46.3","51.3"
"Cheshire West and Chester","46.4","44.0","48.9","50.7","50.1","51.9","46.0","34.3","57.7","54.4","49.6","61.5","48.1","46.6","49.5","46.3","44.0","48.7"
"City of London","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Cornwall","45.1","42.5","47.8","50.7","54.1","46.4","56.0","59.0","54.0","36.4","27.3","40.9","46.1","42.5","50.6","45.1","42.5","47.8"
"County Durham","45.0","42.2","47.9","53.6","52.8","55.6","54.4","52.7","58.8","70.1","76.8","56.8","50.7","50.7","50.6","45.2","42.4","48.1"
"Coventry","43.3","40.7","45.9","49.2","47.0","51.5","43.9","40.9","47.2","58.1","59.2","56.0","40.7","37.2","44.4","41.4","39.0","43.9"
"Croydon","45.8","42.4","49.0","51.4","48.4","54.5","43.5","39.7","47.0","68.3","73.6","63.8","46.5","43.1","49.4","46.9","43.9","49.5"
"Cumbria","46.7","44.3","49.2","59.0","56.7","61.0","49.9","53.1","29.0","69.2","71.3","66.0","49.9","48.6","51.0","46.6","44.2","49.2"
"Darlington","45.8","43.4","48.6","49.3","47.7","50.2","50.6","37.3","59.5","52.5","44.5","55.2","50.9","51.0","50.7","45.5","43.0","48.4"
"Derby","43.2","40.8","45.8","48.0","46.5","49.4","42.8","38.1","47.2","57.4","60.2","51.9","40.9","36.1","49.0","42.3","40.0","44.7"
"Derbyshire","45.6","42.9","48.4","51.1","48.9","54.3","45.4","44.5","46.8","63.7","61.0","66.3","46.3","44.4","48.1","45.5","42.7","48.3"
