"","All","","Asian","","Black","","Chinese","","Mixed","","White",""
"Type of School","Score","Pupils","Score","Pupils","Score","Pupils","Score","Pupils","Score","Pupils","Score","Pupils"
"Academies and free schools","47.9","360,345","52.3","36,343","46.6","18,236","66.3","1,391","48.8","17,034","47.3","277,452"
"All state-funded mainstream schools","47.4","513,356","51.0","55,026","46.0","28,333","64.9","1,853","48.2","24,142","47.0","388,496"
"All state-funded schools","46.5","523,626","50.4","55,737","45.0","28,949","64.2","1,875","47.3","24,646","46.1","396,680"
"Converter academies","50.2","258,093","54.7","25,479","48.4","10,735","67.9","1,105","51.2","11,828","49.6","202,901"
"Free schools","48.9","6,037","55.8","1,291","47.4","588","64.5","26","48.0","428","47.0","3,400"
"Further education colleges with provision for 14- to 16-year-olds","18.0","1,209","4.4","5","2.0","4","N/A","0","5.5","8","2.4","29"
"Local authority maintained mainstream schools","46.5","151,242","48.6","18,640","44.8","10,056","60.8","459","46.8","7,051","46.2","110,587"
"Sponsored academies","41.7","92,197","45.7","9,231","44.0","6,670","60.0","256","43.3","4,549","40.8","68,219"
"State-funded special schools","2.8","10,270","1.0","711","1.8","616","0.7","22","3.2","504","3.1","8,184"
"Studio schools","36.3","1,061","38.1","76","39.1","34","46.0","1","37.6","51","36.1","818"
"University technical colleges","38.2","2,957","40.8","266","35.5","209","53.8","3","36.7","178","38.2","2,114"
