"","All","","Boys","","Girls",""
"Ethnicity","Score","Pupils","Score","Pupils","Score","Pupils"
"All","46.5","523,626","43.8","266,906","49.3","256,720"
"Asian","50.4","55,737","48.0","28,532","53.0","27,205"
"Bangladeshi","49.6","9,384","47.3","4,620","51.9","4,764"
"Indian","56.3","14,575","54.1","7,452","58.6","7,123"
"Pakistani","45.7","22,840","43.2","11,636","48.3","11,204"
"Asian other","53.6","8,938","50.6","4,824","57.1","4,114"
"Black","45.0","28,949","41.4","14,334","48.6","14,615"
"Black African","47.5","18,358","44.0","9,143","51.0","9,215"
"Black Caribbean","39.6","6,933","35.5","3,355","43.4","3,578"
"Black other","43.0","3,658","39.0","1,836","47.0","1,822"
"Chinese","64.2","1,875","61.9","903","66.3","972"
"Mixed","47.3","24,646","44.5","12,447","50.1","12,199"
"Mixed White/Asian","52.5","5,537","50.7","2,793","54.3","2,744"
"Mixed White/Black African","46.5","2,936","43.0","1,474","50.0","1,462"
"Mixed White/Black Caribbean","41.3","7,093","38.0","3,550","44.5","3,543"
"Mixed other","49.1","9,080","46.3","4,630","52.0","4,450"
"White","46.1","396,680","43.4","202,483","48.8","194,197"
"White British","46.1","367,680","43.4","187,806","48.9","179,874"
"White Irish","52.2","1,646","50.1","832","54.3","814"
"Gypsy/Roma","18.2","1,107","15.4","517","20.5","590"
"Irish Traveller","21.9","111","17.9","55","25.8","56"
"White other","47.0","26,136","44.2","13,273","49.8","12,863"
"Other","47.2","8,573","44.3","4,462","50.2","4,111"
"Unknown","40.0","7,166","37.1","3,745","43.3","3,421"
