"Ethnicity","Admission Basis","All","Boys","Girls"
"All","All state-funded mainstream schools","47.4","45.0","49.9"
"All","Non-selective schools in highly selective areas","42.3","39.9","44.8"
"All","Non-selective schools in other areas","46.6","44.2","49.1"
"All","Selective schools","71.1","69.8","72.3"
"Asian","All state-funded mainstream schools","51.0","48.8","53.4"
"Asian","Non-selective schools in highly selective areas","47.0","44.4","49.7"
"Asian","Non-selective schools in other areas","49.2","46.7","51.7"
"Asian","Selective schools","74.6","73.9","75.3"
"Black","All state-funded mainstream schools","46.0","42.6","49.2"
"Black","Non-selective schools in highly selective areas","46.2","42.2","50.2"
"Black","Non-selective schools in other areas","45.1","41.8","48.2"
"Black","Selective schools","72.1","69.9","73.8"
"Chinese","All state-funded mainstream schools","64.9","63.0","66.7"
"Chinese","Non-selective schools in highly selective areas","57.9","54.9","60.4"
"Chinese","Non-selective schools in other areas","61.8","59.5","63.9"
"Chinese","Selective schools","78.1","76.8","79.4"
"Mixed","All state-funded mainstream schools","48.2","45.8","50.6"
"Mixed","Non-selective schools in highly selective areas","44.2","42.4","46.0"
"Mixed","Non-selective schools in other areas","47.0","44.4","49.5"
"Mixed","Selective schools","72.6","71.5","73.6"
"White","All state-funded mainstream schools","47.0","44.6","49.4"
"White","Non-selective schools in highly selective areas","41.7","39.4","44.0"
"White","Non-selective schools in other areas","46.3","44.0","48.8"
"White","Selective schools","69.8","68.2","71.2"
