"","Free school meals","","No free school meals",""
"Ethnicity","Score","Pupils","Score","Pupils"
"All","34.4","66,365","48.3","457,261"
"Asian","42.9","8,610","51.8","47,127"
"Bangladeshi","45.2","2,256","51.1","7,128"
"Indian","46.5","957","57.0","13,618"
"Pakistani","40.8","4,364","46.9","18,476"
"Asian other","43.5","1,033","54.9","7,905"
"Black","38.9","5,912","46.6","23,037"
"Black African","41.9","3,639","48.9","14,719"
"Black Caribbean","32.9","1,531","41.5","5,402"
"Black other","36.4","742","44.6","2,916"
"Chinese","57.6","107","64.6","1,768"
"Mixed","36.6","4,396","49.6","20,250"
"Mixed White/Asian","38.6","709","54.5","4,828"
"Mixed White/Black African","38.8","558","48.3","2,378"
"Mixed White/Black Caribbean","33.3","1,614","43.6","5,479"
"Mixed other","38.4","1,515","51.3","7,565"
"White","31.6","44,327","47.9","352,353"
"White British","31.2","41,457","47.9","326,223"
"White Irish","35.2","188","54.4","1,458"
"Gypsy/Roma","16.8","344","18.8","763"
"Irish Traveller","18.0","67","27.7","44"
"White other","39.7","2,271","47.7","23,865"
"Other","42.8","1,980","48.5","6,593"
"Unknown","32.9","1,033","41.2","6,133"
