"","2 years or less","","","3 to 5 years","","","6 to 9 years","","","10 or more years","",""
"Ethnicity","2015/16 %","2016/17 %","2017/18 %","2015/16 %","2016/17 %","2017/18 %","2015/16 %","2016/17 %","2017/18 %","2015/16 %","2016/17 %","2017/18 %"
"All","25.0","23.4","22.1","54.9","63.3","65.4","17.7","11.5","10.6","2.4","1.8","1.9"
"Asian","18.2","17.8","20.3","63.0","71.6","66.8","16.4","10.0","11.3","2.4","0.6","1.7"
"Bangladeshi","11.6","11.5","11.4","75.4","80.3","80.9","10.1","7.5","4.2","2.9","0.7","3.5"
"Chinese","18.7","16.1","18.1","55.1","73.7","67.0","23.6","10.2","11.7","2.6","0.0","3.2"
"Indian","23.3","22.0","30.3","57.1","65.6","57.1","17.6","12.1","11.3","2.0","!","1.3"
"Pakistani","23.4","20.7","25.4","59.1","69.9","62.4","15.3","9.1","11.8","2.2","!","0.4"
"Asian other","17.3","18.9","18.1","58.6","68.3","65.2","21.7","11.8","15.4","2.3","0.9","1.3"
"Black","18.7","21.0","19.3","56.4","65.4","69.9","22.5","12.8","9.6","2.3","0.8","1.1"
"Black African","16.7","18.8","17.6","59.2","67.1","71.5","22.0","13.2","10.0","2.0","0.9","0.9"
"Black Caribbean","21.7","23.6","21.2","51.6","64.0","70.0","23.9","11.8","7.5","2.8","0.6","1.4"
"Black other","19.2","24.3","22.3","58.0","61.0","61.7","20.5","13.8","14.6","2.3","0.9","1.4"
"Mixed","24.8","25.2","24.0","55.0","64.3","65.5","18.0","9.5","8.6","2.1","1.0","1.8"
"Mixed White/Asian","27.7","30.4","29.1","52.1","61.0","58.3","17.9","8.6","11.0","2.2","0.0","1.6"
"Mixed White/Black African","22.6","19.2","24.7","55.0","67.3","65.9","18.4","11.5","7.9","4.0","2.0","1.5"
"Mixed White/Black Caribbean","27.1","28.6","23.4","54.1","62.9","66.8","17.3","7.8","8.3","1.4","0.8","1.5"
"Mixed other","21.0","20.2","22.3","57.9","66.8","66.5","19.1","12.0","8.4","2.0","1.0","2.7"
"White","26.4","23.9","22.5","54.0","62.5","64.8","17.2","11.6","10.7","2.4","2.0","2.0"
"White British","27.1","24.5","23.0","53.3","61.8","64.2","17.1","11.6","10.8","2.5","2.0","2.0"
"White Irish","28.5","25.4","30.5","52.2","63.8","60.6","17.0","10.5","7.6","2.4","!","1.2"
"White Gypsy/Traveller","17.9","21.7","23.7","51.3","62.7","67.1","30.8","14.4","9.2","0.0","!","0.0"
"White other","15.3","14.0","12.7","64.4","72.6","74.8","18.7","12.3","10.9","1.7","1.1","1.6"
"Other","22.5","25.0","19.9","60.7","65.4","70.7","15.5","8.1","8.6","1.3","1.5","0.7"
"Arab","19.4","26.0","21.4","68.3","64.7","69.8","11.2","7.1","7.7","1.1","2.3","1.2"
"Any other","23.6","24.6","18.8","58.0","65.7","71.8","17.1","8.5","!","1.4","1.2","!"
