"Ethnicity","Socio-economic classification","%","Number"
"Asian","Full time students","18","423"
"Asian","Intermediate occupations","19","1,076"
"Asian","Managerial and professional occupations","20","1,653"
"Asian","Never worked and long-term unemployed","13","602"
"Asian","Not classified","?","42"
"Asian","Routine and manual occupations","16","1,467"
"Black","Full time students","21","223"
"Black","Intermediate occupations","18","470"
"Black","Managerial and professional occupations","20","806"
"Black","Never worked and long-term unemployed","12","235"
"Black","Not classified","?","25"
"Black","Routine and manual occupations","17","1,004"
"Mixed","Full time students","25","101"
"Mixed","Intermediate occupations","21","199"
"Mixed","Managerial and professional occupations","32","339"
"Mixed","Never worked and long-term unemployed","18","57"
"Mixed","Not classified","?","5"
"Mixed","Routine and manual occupations","22","311"
"White","Full time students","22","2,463"
"White","Intermediate occupations","15","22,321"
"White","Managerial and professional occupations","16","32,267"
"White","Never worked and long-term unemployed","18","2,848"
"White","Not classified","14","508"
"White","Routine and manual occupations","15","33,752"
"Other","Full time students","7","106"
"Other","Intermediate occupations","15","125"
"Other","Managerial and professional occupations","22","196"
"Other","Never worked and long-term unemployed","16","106"
"Other","Not classified","?","2"
"Other","Routine and manual occupations","16","177"
