"","All","","Asian","","Black","","Chinese","","Mixed","","White","","Other",""
"Local authority ","%","Pupils","%","Pupils","%","Pupils","%","Pupils","%","Pupils","%","Pupils","%","Pupils"
"Barking and Dagenham","73","2,552","80","609","77","833","90","9","67","207","67","852","63","30"
"Barnet","80","3,366","83","388","75","372","87","48","81","346","83","1,836","73","339"
"Barnsley","73","2,056","92","23","77","17","100","2","69","49","73","1,946","80","8"
"Bath and North East Somerset","77","1,394","86","24","73","8","60","3","79","74","77","1,265","67","6"
"Bedford","66","1,429","61","202","66","82","67","4","62","157","68","965","46","13"
"Bexley","77","2,606","87","234","82","493","98","55","80","187","74","1,577","76","45"
"Birmingham","70","11,333","71","4,292","69","1,449","75","65","72","1,000","69","3,811","67","572"
"Blackburn with Darwen","74","1,620","73","718","85","28","80","4","76","55","74","793","90","19"
"Blackpool","76","1,275","74","26","60","3","50","2","73","44","77","1,195","50","4"
"Bolton","71","2,820","69","669","59","148","100","6","76","119","74","1,820","59","44"
"Bournemouth, Christchurch and Poole","74","2,853","82","108","88","14","86","12","77","175","74","2,486","68","27"
"Bracknell Forest","76","1,088","85","66","69","33","90","9","81","82","76","885","86","6"
"Bradford","71","5,576","72","2,403","73","96","71","5","69","281","70","2,700","66","67"
"Brent","75","2,727","76","845","74","647","78","7","79","225","76","706","64","276"
"Brighton and Hove","77","2,079","78","66","74","43","79","15","80","225","77","1,660","63","35"
"Bristol, City of","72","3,490","70","272","64","352","83","19","68","304","74","2,491","67","33"
"Bromley","81","3,028","86","184","78","285","96","27","85","348","80","2,083","78","53"
"Buckinghamshire","77","4,844","75","787","70","117","88","22","77","375","78","3,472","79","33"
"Bury","73","1,734","69","250","59","34","83","10","72","83","74","1,333","61","19"
"Calderdale","75","2,044","75","360","48","12","100","9","74","81","75","1,567","67","10"
"Cambridgeshire","73","5,149","77","230","70","60","90","43","76","289","72","4,416","77","47"
"Camden","80","1,234","79","272","77","222","88","15","82","140","83","508","73","59"
