"Ethnicity","Local authority ","%","Pupils"
"All","Barking and Dagenham","73","2,552"
"All","Barnet","80","3,366"
"All","Barnsley","73","2,056"
"All","Bath and North East Somerset","77","1,394"
"All","Bedford","66","1,429"
"All","Bexley","77","2,606"
"All","Birmingham","70","11,333"
"All","Blackburn with Darwen","74","1,620"
"All","Blackpool","76","1,275"
"All","Bolton","71","2,820"
"All","Bournemouth, Christchurch and Poole","74","2,853"
"All","Bracknell Forest","76","1,088"
"All","Bradford","71","5,576"
"All","Brent","75","2,727"
"All","Brighton and Hove","77","2,079"
"All","Bristol, City of","72","3,490"
"All","Bromley","81","3,028"
"All","Buckinghamshire","77","4,844"
"All","Bury","73","1,734"
"All","Calderdale","75","2,044"
"All","Cambridgeshire","73","5,149"
"All","Camden","80","1,234"
"All","Central Bedfordshire","72","2,491"
"All","Cheshire East","77","3,262"
"All","Cheshire West and Chester","74","2,976"
"All","City of London","89","25"
"All","Cornwall","72","4,237"
"All","County Durham","73","4,158"
"All","Coventry","69","3,046"
"All","Croydon","75","3,463"
"All","Cumbria","76","3,960"
"All","Darlington","75","955"
"All","Derby","69","2,298"
"All","Derbyshire","72","6,320"
"All","Devon","75","5,937"
"All","Doncaster","68","2,536"
"All","Dorset","72","2,826"
"All","Dudley","67","2,604"
"All","Ealing","78","3,380"
"All","East Riding of Yorkshire","73","2,664"
"All","East Sussex","72","3,976"
"All","Enfield","73","3,395"
"All","Essex","75","12,437"
"All","Gateshead","77","1,615"
"All","Gloucestershire","75","5,120"
"All","Greenwich","79","2,664"
"All","Hackney","72","1,866"
"All","Halton","70","1,122"
"All","Hammersmith and Fulham","79","1,050"
"All","Hampshire","76","11,283"
"All","Haringey","73","2,240"
"All","Harrow","80","2,343"
"All","Hartlepool","76","894"
"All","Havering","78","2,343"
"All","Herefordshire, County of","78","1,464"
"All","Hertfordshire","77","10,958"
"All","Hillingdon","76","2,961"
"All","Hounslow","77","2,551"
"All","Isle of Wight","71","906"
"All","Isles of Scilly","84","16"
"All","Islington","76","1,454"
"All","Kensington and Chelsea","84","793"
"All","Kent","76","13,611"
"All","Kingston upon Hull, City of","76","2,422"
"All","Kingston upon Thames","79","1,497"
"All","Kirklees","70","3,887"
"All","Knowsley","75","1,362"
"All","Lambeth","79","2,382"
"All","Lancashire","72","10,181"
"All","Leeds","70","6,570"
"All","Leicester","70","3,313"
"All","Leicestershire","75","5,722"
"All","Lewisham","76","2,643"
"All","Lincolnshire","69","5,705"
"All","Liverpool","71","3,732"
"All","Luton","70","2,263"
"All","Manchester","70","4,689"
"All","Medway","71","2,408"
"All","Merton","79","1,813"
"All","Middlesbrough","72","1,324"
"All","Milton Keynes","76","2,865"
"All","Newcastle upon Tyne","73","2,170"
"All","Newham","81","3,848"
"All","Norfolk","70","6,423"
"All","North East Lincolnshire","72","1,388"
"All","North Lincolnshire","72","1,401"
"All","North Somerset","75","1,800"
"All","North Tyneside","75","1,844"
"All","North Yorkshire","73","4,617"
"All","Northamptonshire","70","6,624"
"All","Northumberland","75","2,687"
"All","Nottingham","71","2,548"
"All","Nottinghamshire","73","6,770"
"All","Oldham","71","2,466"
"All","Oxfordshire","74","5,519"
