"measure","ethnicity","ethnicity_type","time","time_type","geography","geography_type","geography_code","gender","age","value","value_type","denominator","numerator"
"Percentage of pupils reaching the expected standard in key stage 2 reading","All","DfE 6+1","2018-2019","Academic Year","Barking and Dagenham","Local authority","E09000002","All"," 10-11","73","%","3500","2552"
"Percentage of pupils reaching the expected standard in key stage 2 reading","All","DfE 6+1","2018-2019","Academic Year","Barking and Dagenham","Local authority","E09000002","Boys"," 10-11","68","%","1779","1206"
"Percentage of pupils reaching the expected standard in key stage 2 reading","All","DfE 6+1","2018-2019","Academic Year","Barking and Dagenham","Local authority","E09000002","Girls"," 10-11","78","%","1721","1346"
"Percentage of pupils reaching the expected standard in key stage 2 reading","All","DfE 6+1","2018-2019","Academic Year","Barking and Dagenham","Local authority","E09000002","Other"," 10-11","N/A","%","N/A","N/A"
"Percentage of pupils reaching the expected standard in key stage 2 reading","All","DfE 6+1","2018-2019","Academic Year","Barnet","Local authority","E09000003","All"," 10-11","80","%","4186","3366"
"Percentage of pupils reaching the expected standard in key stage 2 reading","All","DfE 6+1","2018-2019","Academic Year","Barnet","Local authority","E09000003","Boys"," 10-11","76","%","2116","1603"
"Percentage of pupils reaching the expected standard in key stage 2 reading","All","DfE 6+1","2018-2019","Academic Year","Barnet","Local authority","E09000003","Girls"," 10-11","85","%","2070","1763"
"Percentage of pupils reaching the expected standard in key stage 2 reading","All","DfE 6+1","2018-2019","Academic Year","Barnet","Local authority","E09000003","Other"," 10-11","N/A","%","N/A","N/A"
"Percentage of pupils reaching the expected standard in key stage 2 reading","All","DfE 6+1","2018-2019","Academic Year","Barnsley","Local authority","E08000016","All"," 10-11","73","%","2817","2056"
"Percentage of pupils reaching the expected standard in key stage 2 reading","All","DfE 6+1","2018-2019","Academic Year","Barnsley","Local authority","E08000016","Boys"," 10-11","68","%","1439","974"
"Percentage of pupils reaching the expected standard in key stage 2 reading","All","DfE 6+1","2018-2019","Academic Year","Barnsley","Local authority","E08000016","Girls"," 10-11","79","%","1378","1082"
"Percentage of pupils reaching the expected standard in key stage 2 reading","All","DfE 6+1","2018-2019","Academic Year","Barnsley","Local authority","E08000016","Other"," 10-11","N/A","%","N/A","N/A"
"Percentage of pupils reaching the expected standard in key stage 2 reading","All","DfE 6+1","2018-2019","Academic Year","Bath and North East Somerset","Local authority","E06000022","All"," 10-11","77","%","1814","1394"
"Percentage of pupils reaching the expected standard in key stage 2 reading","All","DfE 6+1","2018-2019","Academic Year","Bath and North East Somerset","Local authority","E06000022","Boys"," 10-11","72","%","915","661"
"Percentage of pupils reaching the expected standard in key stage 2 reading","All","DfE 6+1","2018-2019","Academic Year","Bath and North East Somerset","Local authority","E06000022","Girls"," 10-11","82","%","899","733"
"Percentage of pupils reaching the expected standard in key stage 2 reading","All","DfE 6+1","2018-2019","Academic Year","Bath and North East Somerset","Local authority","E06000022","Other"," 10-11","N/A","%","N/A","N/A"
"Percentage of pupils reaching the expected standard in key stage 2 reading","All","DfE 6+1","2018-2019","Academic Year","Bedford","Local authority","E06000055","All"," 10-11","66","%","2170","1429"
"Percentage of pupils reaching the expected standard in key stage 2 reading","All","DfE 6+1","2018-2019","Academic Year","Bedford","Local authority","E06000055","Boys"," 10-11","61","%","1099","671"
"Percentage of pupils reaching the expected standard in key stage 2 reading","All","DfE 6+1","2018-2019","Academic Year","Bedford","Local authority","E06000055","Girls"," 10-11","71","%","1071","758"
"Percentage of pupils reaching the expected standard in key stage 2 reading","All","DfE 6+1","2018-2019","Academic Year","Bedford","Local authority","E06000055","Other"," 10-11","N/A","%","N/A","N/A"
"Percentage of pupils reaching the expected standard in key stage 2 reading","All","DfE 6+1","2018-2019","Academic Year","Bexley","Local authority","E09000004","All"," 10-11","77","%","3366","2606"
"Percentage of pupils reaching the expected standard in key stage 2 reading","All","DfE 6+1","2018-2019","Academic Year","Bexley","Local authority","E09000004","Boys"," 10-11","73","%","1666","1219"
"Percentage of pupils reaching the expected standard in key stage 2 reading","All","DfE 6+1","2018-2019","Academic Year","Bexley","Local authority","E09000004","Girls"," 10-11","82","%","1700","1387"
"Percentage of pupils reaching the expected standard in key stage 2 reading","All","DfE 6+1","2018-2019","Academic Year","Bexley","Local authority","E09000004","Other"," 10-11","N/A","%","N/A","N/A"
"Percentage of pupils reaching the expected standard in key stage 2 reading","All","DfE 6+1","2018-2019","Academic Year","Birmingham","Local authority","E08000025","All"," 10-11","70","%","16232","11333"
"Percentage of pupils reaching the expected standard in key stage 2 reading","All","DfE 6+1","2018-2019","Academic Year","Birmingham","Local authority","E08000025","Boys"," 10-11","65","%","8309","5362"
"Percentage of pupils reaching the expected standard in key stage 2 reading","All","DfE 6+1","2018-2019","Academic Year","Birmingham","Local authority","E08000025","Girls"," 10-11","75","%","7923","5971"
"Percentage of pupils reaching the expected standard in key stage 2 reading","All","DfE 6+1","2018-2019","Academic Year","Birmingham","Local authority","E08000025","Other"," 10-11","N/A","%","N/A","N/A"
"Percentage of pupils reaching the expected standard in key stage 2 reading","All","DfE 6+1","2018-2019","Academic Year","Blackburn with Darwen","Local authority","E06000008","All"," 10-11","74","%","2198","1620"
"Percentage of pupils reaching the expected standard in key stage 2 reading","All","DfE 6+1","2018-2019","Academic Year","Blackburn with Darwen","Local authority","E06000008","Boys"," 10-11","71","%","1112","786"
"Percentage of pupils reaching the expected standard in key stage 2 reading","All","DfE 6+1","2018-2019","Academic Year","Blackburn with Darwen","Local authority","E06000008","Girls"," 10-11","77","%","1086","834"
"Percentage of pupils reaching the expected standard in key stage 2 reading","All","DfE 6+1","2018-2019","Academic Year","Blackburn with Darwen","Local authority","E06000008","Other"," 10-11","N/A","%","N/A","N/A"
"Percentage of pupils reaching the expected standard in key stage 2 reading","All","DfE 6+1","2018-2019","Academic Year","Blackpool","Local authority","E06000009","All"," 10-11","76","%","1674","1275"
"Percentage of pupils reaching the expected standard in key stage 2 reading","All","DfE 6+1","2018-2019","Academic Year","Blackpool","Local authority","E06000009","Boys"," 10-11","73","%","846","615"
"Percentage of pupils reaching the expected standard in key stage 2 reading","All","DfE 6+1","2018-2019","Academic Year","Blackpool","Local authority","E06000009","Girls"," 10-11","80","%","828","660"
"Percentage of pupils reaching the expected standard in key stage 2 reading","All","DfE 6+1","2018-2019","Academic Year","Blackpool","Local authority","E06000009","Other"," 10-11","N/A","%","N/A","N/A"
"Percentage of pupils reaching the expected standard in key stage 2 reading","All","DfE 6+1","2018-2019","Academic Year","Bolton","Local authority","E08000001","All"," 10-11","71","%","3947","2820"
"Percentage of pupils reaching the expected standard in key stage 2 reading","All","DfE 6+1","2018-2019","Academic Year","Bolton","Local authority","E08000001","Boys"," 10-11","69","%","2045","1406"
"Percentage of pupils reaching the expected standard in key stage 2 reading","All","DfE 6+1","2018-2019","Academic Year","Bolton","Local authority","E08000001","Girls"," 10-11","74","%","1902","1414"
"Percentage of pupils reaching the expected standard in key stage 2 reading","All","DfE 6+1","2018-2019","Academic Year","Bolton","Local authority","E08000001","Other"," 10-11","N/A","%","N/A","N/A"
"Percentage of pupils reaching the expected standard in key stage 2 reading","All","DfE 6+1","2018-2019","Academic Year","Bournemouth, Christchurch and Poole","Local authority","E06000058","All"," 10-11","74","%","3832","2853"
"Percentage of pupils reaching the expected standard in key stage 2 reading","All","DfE 6+1","2018-2019","Academic Year","Bournemouth, Christchurch and Poole","Local authority","E06000058","Boys"," 10-11","70","%","1963","1368"
"Percentage of pupils reaching the expected standard in key stage 2 reading","All","DfE 6+1","2018-2019","Academic Year","Bournemouth, Christchurch and Poole","Local authority","E06000058","Girls"," 10-11","79","%","1869","1485"
"Percentage of pupils reaching the expected standard in key stage 2 reading","All","DfE 6+1","2018-2019","Academic Year","Bournemouth, Christchurch and Poole","Local authority","E06000058","Other"," 10-11","N/A","%","N/A","N/A"
"Percentage of pupils reaching the expected standard in key stage 2 reading","All","DfE 6+1","2018-2019","Academic Year","Bracknell Forest","Local authority","E06000036","All"," 10-11","76","%","1423","1088"
"Percentage of pupils reaching the expected standard in key stage 2 reading","All","DfE 6+1","2018-2019","Academic Year","Bracknell Forest","Local authority","E06000036","Boys"," 10-11","70","%","718","503"
"Percentage of pupils reaching the expected standard in key stage 2 reading","All","DfE 6+1","2018-2019","Academic Year","Bracknell Forest","Local authority","E06000036","Girls"," 10-11","83","%","705","585"
"Percentage of pupils reaching the expected standard in key stage 2 reading","All","DfE 6+1","2018-2019","Academic Year","Bracknell Forest","Local authority","E06000036","Other"," 10-11","N/A","%","N/A","N/A"
"Percentage of pupils reaching the expected standard in key stage 2 reading","All","DfE 6+1","2018-2019","Academic Year","Bradford","Local authority","E08000032","All"," 10-11","71","%","7891","5576"
"Percentage of pupils reaching the expected standard in key stage 2 reading","All","DfE 6+1","2018-2019","Academic Year","Bradford","Local authority","E08000032","Boys"," 10-11","66","%","4044","2665"
"Percentage of pupils reaching the expected standard in key stage 2 reading","All","DfE 6+1","2018-2019","Academic Year","Bradford","Local authority","E08000032","Girls"," 10-11","76","%","3847","2911"
"Percentage of pupils reaching the expected standard in key stage 2 reading","All","DfE 6+1","2018-2019","Academic Year","Bradford","Local authority","E08000032","Other"," 10-11","N/A","%","N/A","N/A"
"Percentage of pupils reaching the expected standard in key stage 2 reading","All","DfE 6+1","2018-2019","Academic Year","Brent","Local authority","E09000005","All"," 10-11","75","%","3659","2727"
"Percentage of pupils reaching the expected standard in key stage 2 reading","All","DfE 6+1","2018-2019","Academic Year","Brent","Local authority","E09000005","Boys"," 10-11","71","%","1880","1339"
