"","Up to £99","£100 to £199","£200 to £299","£300 to £399","£400 to £499","£500 to £599","£600 to £699","£700 to £799","£800 to £899","£900 to £999","£1000 or above"
"Ethnicity","","","","","","","","","","",""
"All","2","5","11","12","11","9","8","7","6","5","27"
"Bangladeshi","1","2","6","11","13","13","15","12","5","2","20"
"Chinese","5","5","9","10","8","10","8","6","4","7","29"
"Indian","2","3","7","6","7","6","7","7","6","7","42"
"Pakistani","2","7","7","8","13","12","10","8","6","5","20"
"Asian other","2","5","8","8","11","11","7","11","4","6","28"
"Black","4","6","10","15","11","11","9","7","5","4","19"
"Mixed","3","5","11","13","11","9","7","9","6","4","24"
"White British","2","5","11","12","11","9","7","7","6","5","26"
"White other","2","3","7","9","10","10","9","7","6","5","31"
"Other","3","4","8","13","10","12","7","7","5","4","27"
