"Employment_type","Ethnicity","%","Number"
"Permanent","Asian","94","1,653,800"
"Permanent","Indian","95","728,000"
"Permanent","Pakistani and Bangladeshi","93","506,700"
"Permanent","Asian Other","93","419,100"
"Permanent","Black","91","801,500"
"Permanent","Mixed","92","290,100"
"Permanent","White","95","21,478,100"
"Permanent","White British","95","19,491,200"
"Permanent","White Other","93","1,986,800"
"Permanent","Other","91","372,200"
"Permanent","All","95","24,605,300"
"Temporary","Asian","6","109,400"
"Temporary","Indian","5","39,100"
"Temporary","Pakistani and Bangladeshi","7","38,800"
"Temporary","Asian Other","7","31,600"
"Temporary","Black","9","76,900"
"Temporary","Mixed","8","25,000"
"Temporary","White","5","1,073,700"
"Temporary","White British","5","934,700"
"Temporary","White Other","7","138,900"
"Temporary","Other","9","35,300"
"Temporary","All","5","1,321,400"
