"FSM","Ethnicity","%"
"FSM","All","53"
"FSM","Asian","65"
"FSM","Bangladeshi","68"
"FSM","Indian","70"
"FSM","Pakistani","63"
"FSM","Asian other","63"
"FSM","Black","66"
"FSM","Black African","69"
"FSM","Black Caribbean","58"
"FSM","Black other","62"
"FSM","Chinese","83"
"FSM","Mixed","58"
"FSM","Mixed White/Asian","62"
"FSM","Mixed White/Black African","63"
"FSM","Mixed White/Black Caribbean","54"
"FSM","Mixed other","59"
"FSM","White","50"
"FSM","White British","50"
"FSM","White Irish","41"
"FSM","Gypsy/Roma","23"
"FSM","Irish Traveller","25"
"FSM","White other","54"
"FSM","Other","55"
"FSM","Unknown","47"
"Non-FSM","All","72"
"Non-FSM","Asian","74"
"Non-FSM","Bangladeshi","73"
"Non-FSM","Indian","81"
"Non-FSM","Pakistani","69"
"Non-FSM","Asian other","75"
"Non-FSM","Black","73"
"Non-FSM","Black African","74"
"Non-FSM","Black Caribbean","68"
"Non-FSM","Black other","70"
"Non-FSM","Chinese","83"
"Non-FSM","Mixed","75"
"Non-FSM","Mixed White/Asian","79"
"Non-FSM","Mixed White/Black African","73"
"Non-FSM","Mixed White/Black Caribbean","69"
"Non-FSM","Mixed other","76"
"Non-FSM","White","72"
"Non-FSM","White British","73"
"Non-FSM","White Irish","77"
"Non-FSM","Gypsy/Roma","27"
"Non-FSM","Irish Traveller","37"
"Non-FSM","White other","67"
"Non-FSM","Other","67"
"Non-FSM","Unknown","51"
