"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Age","Value","Value_type","Denominator","Numerator"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2018-2019","Academic Year","Barking and Dagenham","Local authority","E09000002","All","6-7","69","%","3786","2604"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2018-2019","Academic Year","Barking and Dagenham","Local authority","E09000002","Boys","6-7","62","%","1988","1236"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2018-2019","Academic Year","Barking and Dagenham","Local authority","E09000002","Girls","6-7","76","%","1798","1368"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Asian","ONS 2011 5+1","2018-2019","Academic Year","Barking and Dagenham","Local authority","E09000002","All","6-7","73","%","1012","737"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Asian","ONS 2011 5+1","2018-2019","Academic Year","Barking and Dagenham","Local authority","E09000002","Boys","6-7","66","%","515","341"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Asian","ONS 2011 5+1","2018-2019","Academic Year","Barking and Dagenham","Local authority","E09000002","Girls","6-7","80","%","497","396"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Black","ONS 2011 5+1","2018-2019","Academic Year","Barking and Dagenham","Local authority","E09000002","All","6-7","75","%","923","691"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Black","ONS 2011 5+1","2018-2019","Academic Year","Barking and Dagenham","Local authority","E09000002","Boys","6-7","67","%","483","323"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Black","ONS 2011 5+1","2018-2019","Academic Year","Barking and Dagenham","Local authority","E09000002","Girls","6-7","84","%","440","368"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Chinese","ONS 2011 18+1","2018-2019","Academic Year","Barking and Dagenham","Local authority","E09000002","All","6-7","78","%","18","14"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Chinese","ONS 2011 18+1","2018-2019","Academic Year","Barking and Dagenham","Local authority","E09000002","Boys","6-7","67","%","12","8"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Chinese","ONS 2011 18+1","2018-2019","Academic Year","Barking and Dagenham","Local authority","E09000002","Girls","6-7","100","%","6","6"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Mixed","ONS 2011 5+1","2018-2019","Academic Year","Barking and Dagenham","Local authority","E09000002","All","6-7","69","%","338","233"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Mixed","ONS 2011 5+1","2018-2019","Academic Year","Barking and Dagenham","Local authority","E09000002","Boys","6-7","59","%","180","106"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Mixed","ONS 2011 5+1","2018-2019","Academic Year","Barking and Dagenham","Local authority","E09000002","Girls","6-7","80","%","158","127"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Other","ONS 2011 5+1","2018-2019","Academic Year","Barking and Dagenham","Local authority","E09000002","All","6-7","75","%","52","39"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Other","ONS 2011 5+1","2018-2019","Academic Year","Barking and Dagenham","Local authority","E09000002","Boys","6-7","63","%","30","19"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Other","ONS 2011 5+1","2018-2019","Academic Year","Barking and Dagenham","Local authority","E09000002","Girls","6-7","91","%","22","20"
"Percentage of pupils reaching the expected standard in key stage 1 writing","White","ONS 2011 5+1","2018-2019","Academic Year","Barking and Dagenham","Local authority","E09000002","All","6-7","63","%","1382","864"
"Percentage of pupils reaching the expected standard in key stage 1 writing","White","ONS 2011 5+1","2018-2019","Academic Year","Barking and Dagenham","Local authority","E09000002","Boys","6-7","57","%","739","424"
"Percentage of pupils reaching the expected standard in key stage 1 writing","White","ONS 2011 5+1","2018-2019","Academic Year","Barking and Dagenham","Local authority","E09000002","Girls","6-7","68","%","643","440"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2018-2019","Academic Year","Barnet","Local authority","E09000003","All","6-7","74","%","4485","3299"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2018-2019","Academic Year","Barnet","Local authority","E09000003","Boys","6-7","68","%","2269","1552"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2018-2019","Academic Year","Barnet","Local authority","E09000003","Girls","6-7","79","%","2216","1747"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Asian","ONS 2011 5+1","2018-2019","Academic Year","Barnet","Local authority","E09000003","All","6-7","78","%","501","393"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Asian","ONS 2011 5+1","2018-2019","Academic Year","Barnet","Local authority","E09000003","Boys","6-7","72","%","256","184"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Asian","ONS 2011 5+1","2018-2019","Academic Year","Barnet","Local authority","E09000003","Girls","6-7","85","%","245","209"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Black","ONS 2011 5+1","2018-2019","Academic Year","Barnet","Local authority","E09000003","All","6-7","75","%","444","331"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Black","ONS 2011 5+1","2018-2019","Academic Year","Barnet","Local authority","E09000003","Boys","6-7","69","%","211","145"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Black","ONS 2011 5+1","2018-2019","Academic Year","Barnet","Local authority","E09000003","Girls","6-7","80","%","233","186"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Chinese","ONS 2011 18+1","2018-2019","Academic Year","Barnet","Local authority","E09000003","All","6-7","83","%","66","55"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Chinese","ONS 2011 18+1","2018-2019","Academic Year","Barnet","Local authority","E09000003","Boys","6-7","81","%","31","25"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Chinese","ONS 2011 18+1","2018-2019","Academic Year","Barnet","Local authority","E09000003","Girls","6-7","86","%","35","30"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Mixed","ONS 2011 5+1","2018-2019","Academic Year","Barnet","Local authority","E09000003","All","6-7","74","%","450","335"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Mixed","ONS 2011 5+1","2018-2019","Academic Year","Barnet","Local authority","E09000003","Boys","6-7","66","%","230","152"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Mixed","ONS 2011 5+1","2018-2019","Academic Year","Barnet","Local authority","E09000003","Girls","6-7","83","%","220","183"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Other","ONS 2011 5+1","2018-2019","Academic Year","Barnet","Local authority","E09000003","All","6-7","69","%","411","283"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Other","ONS 2011 5+1","2018-2019","Academic Year","Barnet","Local authority","E09000003","Boys","6-7","62","%","200","123"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Other","ONS 2011 5+1","2018-2019","Academic Year","Barnet","Local authority","E09000003","Girls","6-7","76","%","211","160"
"Percentage of pupils reaching the expected standard in key stage 1 writing","White","ONS 2011 5+1","2018-2019","Academic Year","Barnet","Local authority","E09000003","All","6-7","74","%","2478","1826"
"Percentage of pupils reaching the expected standard in key stage 1 writing","White","ONS 2011 5+1","2018-2019","Academic Year","Barnet","Local authority","E09000003","Boys","6-7","70","%","1271","885"
"Percentage of pupils reaching the expected standard in key stage 1 writing","White","ONS 2011 5+1","2018-2019","Academic Year","Barnet","Local authority","E09000003","Girls","6-7","78","%","1207","941"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2018-2019","Academic Year","Barnsley","Local authority","E08000016","All","6-7","67","%","3017","2020"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2018-2019","Academic Year","Barnsley","Local authority","E08000016","Boys","6-7","58","%","1499","865"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2018-2019","Academic Year","Barnsley","Local authority","E08000016","Girls","6-7","76","%","1518","1155"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Asian","ONS 2011 5+1","2018-2019","Academic Year","Barnsley","Local authority","E08000016","All","6-7","82","%","17","14"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Asian","ONS 2011 5+1","2018-2019","Academic Year","Barnsley","Local authority","E08000016","Boys","6-7","80","%","10","8"
