"","Boys","","Girls",""
"Ethnicity","Expected standard","Higher standard","Expected standard","Higher standard"
"All","63","11","76","19"
"Asian","67","13","79","21"
"Bangladeshi","66","12","79","21"
"Indian","75","18","85","27"
"Pakistani","61","8","75","15"
"Asian other","68","14","80","22"
"Black","64","11","78","18"
"Black African","67","12","80","20"
"Black Caribbean","57","8","73","13"
"Black other","61","10","76","18"
"Chinese","79","23","88","34"
"Mixed","65","13","78","21"
"Mixed White/Asian","72","17","82","25"
"Mixed White/Black African","65","12","78","21"
"Mixed White/Black Caribbean","57","8","72","15"
"Mixed other","66","15","79","22"
"White","62","11","75","18"
"White British","63","11","76","19"
"White Irish","64","14","79","24"
"Gypsy/Roma","22","1","30","3"
"Irish Traveller","21","2","38","3"
"White other","61","10","73","17"
"Other","59","9","70","14"
"Unknown","45","8","57","12"
