"","All","Asian","Black","Chinese","Mixed","White","Other"
"Local authority","%","%","%","%","%","%","%"
"Barking and Dagenham","69","73","75","78","69","63","75"
"Barnet","74","78","75","83","74","74","69"
"Barnsley","67","82","57","N/A","69","67","78"
"Bath and North East Somerset","71","72","80","89","79","71","40"
"Bedford","61","59","66","100","58","62","48"
"Bexley","74","83","81","87","75","71","65"
"Birmingham","67","70","67","88","66","65","63"
"Blackburn with Darwen","68","69","58","67","74","68","71"
"Blackpool","65","81","45","80","71","65","30"
"Bolton","68","73","60","67","69","68","57"
"Bournemouth, Christchurch and Poole","70","76","67","88","71","70","66"
"Bracknell Forest","72","81","87","83","80","71","78"
"Bradford","67","71","70","67","68","65","56"
"Brent","68","74","68","93","69","67","60"
"Brighton and Hove","70","65","80","79","75","70","48"
"Bristol, City of","68","65","62","100","65","70","57"
"Bromley","76","90","72","95","76","76","80"
"Buckinghamshire","71","70","69","88","70","72","71"
"Bury","66","61","67","80","68","68","61"
"Calderdale","64","60","48","70","59","65","56"
"Cambridgeshire","67","74","71","78","68","67","60"
"Camden","70","68","69","75","66","72","67"
"Central Bedfordshire","72","82","74","90","76","72","79"
"Cheshire East","70","73","63","78","76","70","60"
"Cheshire West and Chester","65","72","48","86","71","65","43"
"City of London","!","!","!","!","!","!","!"
"Cornwall","65","78","43","55","71","65","48"
"County Durham","72","68","92","80","76","72","60"
"Coventry","65","73","66","84","62","63","59"
"Croydon","72","79","74","86","74","69","72"
"Cumbria","68","72","67","71","79","68","65"
"Darlington","68","66","91","100","82","68","55"
"Derby","66","74","74","74","64","65","58"
"Derbyshire","69","65","79","71","78","69","69"
"Devon","68","67","80","75","76","68","55"
"Doncaster","68","68","70","80","68","68","55"
"Dorset","68","79","58","100","70","68","47"
"Dudley","67","71","66","86","66","67","53"
"Ealing","70","73","65","74","77","72","63"
"East Riding of Yorkshire","70","82","100","100","75","70","63"
"East Sussex","72","78","67","68","75","72","53"
"Enfield","65","75","66","91","73","62","63"
"Essex","71","80","73","87","75","70","73"
"Gateshead","70","77","72","75","81","70","51"
"Gloucestershire","67","71","70","83","67","68","50"
"Greenwich","75","89","80","88","79","68","78"
"Hackney","76","82","76","81","74","76","69"
"Halton","66","80","100","N/A","79","65","67"
"Hammersmith and Fulham","74","78","67","86","77","78","70"
"Hampshire","74","80","81","85","78","74","75"
"Haringey","72","81","74","83","77","72","62"
"Harrow","74","82","67","90","75","66","64"
"Hartlepool","70","66","83","100","73","71","44"
"Havering","72","78","75","92","74","71","69"
"Herefordshire, County of","73","63","85","100","82","74","60"
"Hertfordshire","71","77","69","79","73","70","64"
"Hillingdon","70","79","71","82","68","63","68"
"Hounslow","74","80","72","95","75","71","71"
"Isle of Wight","64","43","75","100","73","64","50"
"Isles of Scilly","!","!","!","!","!","!","!"
"Islington","72","73","72","92","70","72","65"
"Kensington and Chelsea","75","73","74","75","75","77","70"
"Kent","71","79","81","90","78","70","69"
"Kingston upon Hull, City of","66","76","68","67","68","67","61"
"Kingston upon Thames","73","76","63","90","76","72","70"
"Kirklees","67","69","73","76","65","67","64"
"Knowsley","65","84","76","57","72","64","64"
"Lambeth","74","71","71","91","76","78","71"
"Lancashire","68","67","78","76","69","68","52"
"Leeds","63","63","62","78","66","64","58"
"Leicester","65","71","62","68","68","58","67"
"Leicestershire","70","80","71","69","70","69","66"
"Lewisham","70","73","70","87","70","71","78"
"Lincolnshire","67","84","69","72","72","66","71"
"Liverpool","64","69","66","74","62","65","51"
"Luton","64","70","66","82","63","57","71"
"Manchester","66","67","70","81","68","64","61"
"Medway","71","82","83","75","71","70","68"
"Merton","70","76","64","89","70","69","78"
"Middlesbrough","66","65","68","88","63","67","53"
"Milton Keynes","71","77","74","88","74","68","48"
"Newcastle upon Tyne","71","71","75","69","74","72","67"
"Newham","75","79","76","92","78","66","75"
"Norfolk","66","78","65","81","73","66","64"
"North East Lincolnshire","70","75","50","50","68","70","50"
"North Lincolnshire","70","72","79","100","73","70","38"
"North Somerset","71","79","63","60","79","70","67"
"North Tyneside","72","69","74","93","79","72","56"
"North Yorkshire","68","68","62","73","74","68","55"
"Northamptonshire","68","77","72","83","69","68","53"
"Northumberland","73","82","60","100","73","73","70"
"Nottingham","64","66","72","84","67","61","58"
"Nottinghamshire","68","72","69","89","68","68","60"
"Oldham","65","64","64","88","66","66","51"
"Oxfordshire","70","71","74","88","69","70","62"
"Peterborough","62","62","65","92","63","62","50"
"Plymouth","66","85","65","62","67","66","58"
"Portsmouth","66","74","59","76","72","66","56"
"Reading","65","70","65","67","64","64","59"
"Redbridge","74","78","74","79","80","68","62"
"Redcar and Cleveland","73","88","100","100","67","73","33"
"Richmond upon Thames","76","78","74","91","79","76","69"
"Rochdale","64","64","70","81","64","65","58"
"Rotherham","68","69","68","88","79","68","54"
"Rutland","74","67","67","100","63","75","75"
"Salford","68","76","69","100","76","68","64"
"Sandwell","66","70","70","87","69","63","58"
"Sefton","68","61","54","90","66","68","24"
"Sheffield","67","67","72","73","63","68","60"
"Shropshire","67","58","100","50","70","67","63"
"Slough","71","76","76","100","67","64","71"
"Solihull","72","79","66","100","71","70","78"
"Somerset","71","76","83","100","74","71","54"
"South Gloucestershire","74","90","77","95","69","74","70"
"South Tyneside","70","74","71","100","71","70","90"
"Southampton","67","68","76","94","68","66","66"
"Southend-on-Sea","69","73","83","83","66","69","57"
"Southwark","73","77","74","83","71","75","64"
"St. Helens","69","69","73","54","74","69","20"
"Staffordshire","72","76","71","100","70","72","59"
"Stockport","69","70","61","76","70","69","66"
"Stockton-on-Tees","74","80","77","89","73","73","57"
"Stoke-on-Trent","65","69","64","76","64","66","51"
"Suffolk","66","77","71","86","66","66","68"
"Sunderland","72","70","72","84","73","72","60"
"Surrey","72","76","74","94","76","71","74"
"Sutton","76","86","76","93","78","72","68"
"Swindon","70","74","79","92","72","70","74"
"Tameside","67","70","45","75","68","68","66"
"Telford and Wrekin","71","65","67","89","73","72","33"
"Thurrock","69","80","82","77","75","65","76"
"Torbay","69","91","50","67","83","69","80"
"Tower Hamlets","72","73","70","81","76","70","55"
"Trafford","72","74","67","85","70","73","65"
"Wakefield","67","64","71","89","69","67","69"
"Walsall","67","74","60","77","69","65","60"
"Waltham Forest","75","79","73","89","78","74","75"
"Wandsworth","75","73","69","88","73","82","64"
"Warrington","73","77","75","64","76","72","69"
"Warwickshire","71","78","79","96","72","71","63"
"West Berkshire","69","76","57","71","76","69","62"
"West Sussex","68","73","56","81","70","67","69"
"Westminster","71","78","74","76","69","72","67"
"Wigan","70","72","76","91","78","70","62"
"Wiltshire","68","67","70","75","67","68","79"
"Windsor and Maidenhead","71","70","72","100","73","72","62"
"Wirral","66","75","70","95","71","65","50"
"Wokingham","74","83","69","75","75","72","80"
"Wolverhampton","69","78","68","61","73","66","59"
"Worcestershire","69","68","59","76","72","69","67"
"York","71","76","73","83","79","71","47"
