"","FSM","Non-FSM"
"Ethnicity","%","%"
"All","53","72"
"Asian","65","74"
"Bangladeshi","68","73"
"Indian","70","81"
"Pakistani","63","69"
"Asian other","63","75"
"Black","66","73"
"Black African","69","74"
"Black Caribbean","58","68"
"Black other","62","70"
"Chinese","83","83"
"Mixed","58","75"
"Mixed White/Asian","62","79"
"Mixed White/Black African","63","73"
"Mixed White/Black Caribbean","54","69"
"Mixed other","59","76"
"White","50","72"
"White British","50","73"
"White Irish","41","77"
"Gypsy/Roma","23","27"
"Irish Traveller","25","37"
"White other","54","67"
"Other","55","67"
"Unknown","47","51"
