"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Value","Value_type","Numerator","Denominator"
"First year enrolments onto postgraduate study","2020/21","Academic Year","White","ONS 2011 5+1","76.1","%","206420","271195"
"First year enrolments onto postgraduate study","2020/21","Academic Year","Black","ONS 2011 5+1","7.3","%","19895","271195"
"First year enrolments onto postgraduate study","2020/21","Academic Year","Asian","ONS 2011 5+1","10.6","%","28880","271195"
"First year enrolments onto postgraduate study","2020/21","Academic Year","Mixed","ONS 2011 5+1","3.8","%","10390","271195"
"First year enrolments onto postgraduate study","2020/21","Academic Year","Other","ONS 2011 5+1","2.1","%","5605","271195"
"First year enrolments onto postgraduate study","2019/20","Academic Year","White","ONS 2011 5+1","76.1","%","168335","221220"
"First year enrolments onto postgraduate study","2019/20","Academic Year","Black","ONS 2011 5+1","7.4","%","16435","221220"
"First year enrolments onto postgraduate study","2019/20","Academic Year","Asian","ONS 2011 5+1","10.7","%","23745","221220"
"First year enrolments onto postgraduate study","2019/20","Academic Year","Mixed","ONS 2011 5+1","3.7","%","8235","221220"
"First year enrolments onto postgraduate study","2019/20","Academic Year","Other","ONS 2011 5+1","2","%","4470","221220"
"First year enrolments onto postgraduate study","2018/19","Academic Year","White","ONS 2011 5+1","76.8","%","168980","220130"
"First year enrolments onto postgraduate study","2018/19","Academic Year","Black","ONS 2011 5+1","7.3","%","16035","220130"
"First year enrolments onto postgraduate study","2018/19","Academic Year","Asian","ONS 2011 5+1","10.4","%","22910","220130"
"First year enrolments onto postgraduate study","2018/19","Academic Year","Mixed","ONS 2011 5+1","3.6","%","7940","220130"
"First year enrolments onto postgraduate study","2018/19","Academic Year","Other","ONS 2011 5+1","1.9","%","4255","220130"
"First year enrolments onto postgraduate study","2017/18","Academic Year","White","ONS 2011 5+1","77.2","%","167050","216290"
"First year enrolments onto postgraduate study","2017/18","Academic Year","Black","ONS 2011 5+1","7.4","%","16090","216290"
"First year enrolments onto postgraduate study","2017/18","Academic Year","Asian","ONS 2011 5+1","10.1","%","21780","216290"
"First year enrolments onto postgraduate study","2017/18","Academic Year","Mixed","ONS 2011 5+1","3.4","%","7405","216290"
"First year enrolments onto postgraduate study","2017/18","Academic Year","Other","ONS 2011 5+1","1.8","%","3965","216290"
"First year enrolments onto postgraduate study","2016/17","Academic Year","White","ONS 2011 5+1","77.7","%","161835","208185"
"First year enrolments onto postgraduate study","2016/17","Academic Year","Black","ONS 2011 5+1","7.8","%","16185","208185"
"First year enrolments onto postgraduate study","2016/17","Academic Year","Asian","ONS 2011 5+1","9.5","%","19755","208185"
"First year enrolments onto postgraduate study","2016/17","Academic Year","Mixed","ONS 2011 5+1","3.3","%","6830","208185"
"First year enrolments onto postgraduate study","2016/17","Academic Year","Other","ONS 2011 5+1","1.7","%","3585","208185"
"First year enrolments onto postgraduate study","2015/16","Academic Year","White","ONS 2011 5+1","79.8","%","144570","181255"
"First year enrolments onto postgraduate study","2015/16","Academic Year","Black","ONS 2011 5+1","6.1","%","11065","181255"
"First year enrolments onto postgraduate study","2015/16","Academic Year","Asian","ONS 2011 5+1","9.4","%","17095","181255"
"First year enrolments onto postgraduate study","2015/16","Academic Year","Mixed","ONS 2011 5+1","3.1","%","5585","181255"
"First year enrolments onto postgraduate study","2015/16","Academic Year","Other","ONS 2011 5+1","1.6","%","2940","181255"
