"Year","Ethnicity","Loans per 10,000","New loans"
"2013","All","3.3","10,371"
"2013","Asian","3.1","594"
"2013","Black","26.9","2,300"
"2013","Mixed","14.0","436"
"2013","White","2.3","6,546"
"2013","Other","0.6","27"
"2014","All","4.6","14,779"
"2014","Asian","2.8","569"
"2014","Black","15.9","1,399"
"2014","Mixed","25.0","811"
"2014","White","3.9","11,126"
"2014","Other","4.6","214"
"2015","All","3.0","9,794"
"2015","Asian","1.7","345"
"2015","Black","8.2","801"
"2015","Mixed","14.1","459"
"2015","White","2.6","7,535"
"2015","Other","4.4","212"
"2016","All","2.8","9,082"
"2016","Asian","1.8","387"
"2016","Black","7.0","693"
"2016","Mixed","10.0","356"
"2016","White","2.4","6,963"
"2016","Other","2.7","140"
"2017","All","2.7","8,918"
"2017","Asian","1.7","375"
"2017","Black","6.2","584"
"2017","Mixed","8.0","304"
"2017","White","2.5","7,184"
"2017","Other","2.8","151"
"2018","All","2.4","7,817"
"2018","Asian","1.5","343"
"2018","Black","5.2","524"
"2018","Mixed","6.0","242"
"2018","White","2.2","6,213"
"2018","Other","1.7","94"
