"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Value","Value_type","Denominator","Numerator"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","Barking and Dagenham","Local authority","E09000002","All","70","%","3678","2576"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","Barking and Dagenham","Local authority","E09000002","Boys","63","%","1894","1186"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","Barking and Dagenham","Local authority","E09000002","Girls","78","%","1784","1390"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","Barnet","Local authority","E09000003","All","73","%","4445","3261"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","Barnet","Local authority","E09000003","Boys","68","%","2264","1536"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","Barnet","Local authority","E09000003","Girls","79","%","2181","1725"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","Barnsley","Local authority","E08000016","All","67","%","3002","2012"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","Barnsley","Local authority","E08000016","Boys","59","%","1548","915"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","Barnsley","Local authority","E08000016","Girls","75","%","1454","1097"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","Bath and North East Somerset","Local authority","E06000022","All","71","%","1926","1368"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","Bath and North East Somerset","Local authority","E06000022","Boys","65","%","1009","655"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","Bath and North East Somerset","Local authority","E06000022","Girls","78","%","917","713"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","Bedford","Local authority","E06000055","All","66","%","2300","1510"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","Bedford","Local authority","E06000055","Boys","59","%","1160","681"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","Bedford","Local authority","E06000055","Girls","73","%","1140","829"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","Bexley","Local authority","E09000004","All","76","%","3346","2539"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","Bexley","Local authority","E09000004","Boys","71","%","1725","1230"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","Bexley","Local authority","E09000004","Girls","81","%","1621","1309"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","Birmingham","Local authority","E08000025","All","67","%","16733","11158"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","Birmingham","Local authority","E08000025","Boys","61","%","8609","5226"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","Birmingham","Local authority","E08000025","Girls","73","%","8124","5932"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","Blackburn with Darwen","Local authority","E06000008","All","68","%","2237","1524"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","Blackburn with Darwen","Local authority","E06000008","Boys","61","%","1139","690"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","Blackburn with Darwen","Local authority","E06000008","Girls","76","%","1098","834"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","Blackpool","Local authority","E06000009","All","67","%","1683","1131"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","Blackpool","Local authority","E06000009","Boys","61","%","822","500"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","Blackpool","Local authority","E06000009","Girls","73","%","861","631"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","Bolton","Local authority","E08000001","All","68","%","4041","2751"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","Bolton","Local authority","E08000001","Boys","62","%","2069","1288"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","Bolton","Local authority","E08000001","Girls","74","%","1972","1463"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","Bournemouth","Local authority","E06000028","All","71","%","1991","1409"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","§","Local authority","E06000028","Boys","64","%","1013","647"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","Bournemouth","Local authority","E06000028","Girls","78","%","978","762"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","Bracknell Forest","Local authority","E06000036","All","74","%","1457","1075"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","Bracknell Forest","Local authority","E06000036","Boys","65","%","733","479"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","Bracknell Forest","Local authority","E06000036","Girls","82","%","724","596"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","Bradford","Local authority","E08000032","All","67","%","8037","5359"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","Bradford","Local authority","E08000032","Boys","60","%","4125","2470"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","Bradford","Local authority","E08000032","Girls","74","%","3912","2889"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","Brent","Local authority","E09000005","All","68","%","3891","2636"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","Brent","Local authority","E09000005","Boys","61","%","2066","1258"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","Brent","Local authority","E09000005","Girls","76","%","1825","1378"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","Brighton and Hove","Local authority","E06000043","All","69","%","2745","1885"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","Brighton and Hove","Local authority","E06000043","Boys","62","%","1395","859"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","Brighton and Hove","Local authority","E06000043","Girls","76","%","1350","1026"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","Bristol, City of","Local authority","E06000023","All","68","%","5261","3581"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","Bristol, City of","Local authority","E06000023","Boys","62","%","2668","1652"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","Bristol, City of","Local authority","E06000023","Girls","74","%","2593","1929"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","Bromley","Local authority","E09000006","All","76","%","4065","3074"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","Bromley","Local authority","E09000006","Boys","71","%","2078","1485"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","Bromley","Local authority","E09000006","Girls","80","%","1987","1589"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","Buckinghamshire","Local authority","E10000002","All","72","%","6585","4735"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","Buckinghamshire","Local authority","E10000002","Boys","65","%","3368","2203"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","Buckinghamshire","Local authority","E10000002","Girls","79","%","3217","2532"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","Bury","Local authority","E08000002","All","67","%","2446","1649"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","Bury","Local authority","E08000002","Boys","62","%","1244","775"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","Bury","Local authority","E08000002","Girls","73","%","1202","874"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","Calderdale","Local authority","E08000033","All","64","%","2724","1740"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","Calderdale","Local authority","E08000033","Boys","56","%","1372","768"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","Calderdale","Local authority","E08000033","Girls","72","%","1352","972"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","Cambridgeshire","Local authority","E10000003","All","68","%","7485","5107"
