"","All","","Asian","","Black","","Chinese","","Mixed","","White","","Other",""
"Geography","boys","girls","boys","girls","boys","girls","boys","girls","boys","girls","boys","girls","boys","girls"
"Barking and Dagenham","63","78","66","88","70","85","67","83","68","79","54","69","67","56"
"Barnet","68","79","74","83","65","80","84","97","72","84","66","79","67","72"
"Barnsley","59","75","70","60","50","80","0","100","69","68","59","76","60","100"
"Bath and North East Somerset","65","78","95","86","33","44","75","50","65","69","64","78","57","60"
"Bedford","59","73","60","66","76","82","50","100","61","69","57","75","58","44"
"Bexley","71","81","83","87","79","88","88","89","74","81","68","78","57","89"
"Birmingham","61","73","63","77","62","72","80","83","61","74","59","70","60","71"
"Blackburn with Darwen","61","76","63","79","50","95","100","75","67","71","58","75","71","33"
"Blackpool","61","73","77","84","67","33","50","100","61","87","61","73","50","86"
"Bolton","62","74","66","79","45","68","63","75","75","83","62","73","55","67"
"Bournemouth","64","78","82","89","73","100","80","80","65","78","64","77","29","69"
"Bracknell Forest","65","82","78","90","65","79","75","86","74","80","64","82","50","100"
"Bradford","60","74","63","78","44","72","100","100","63","69","58","72","48","71"
"Brent","61","76","69","83","59","74","100","50","63","79","60","73","51","72"
"Brighton and Hove","62","76","62","63","59","83","80","74","64","77","62","77","42","50"
"Bristol, City of","62","74","68","72","56","63","77","87","61","77","62","76","63","75"
"Bromley","71","80","81","89","61","78","80","92","74","79","72","80","64","88"
"Buckinghamshire","65","79","67","75","62","74","94","100","66","81","65","80","63","50"
"Bury","62","73","63","70","70","67","67","100","58","70","63","74","47","58"
"Calderdale","56","72","57","68","60","73","75","100","62","64","55","74","67","33"
"Cambridgeshire","63","74","74","81","46","76","100","88","68","79","62","74","73","73"
"Camden","65","76","67","80","59","74","82","78","65","78","67","74","58","74"
"Central Bedfordshire","67","79","69","86","67","88","89","71","69","75","67","79","64","75"
"Cheshire East","63","78","78","79","60","91","60","60","67","77","63","78","43","70"
"Cheshire West and Chester","61","75","69","82","73","67","86","100","68","82","61","75","50","82"
"City of London","!","!","!","!","!","!","!","!","!","!","!","!","!","!"
"Cornwall","58","74","56","89","N/A","0","88","60","65","77","58","74","60","70"
"County Durham","67","79","67","78","40","100","73","80","69","72","67","79","50","55"
"Coventry","58","73","65","81","61","75","57","100","60","72","55","70","45","69"
"Croydon","66","79","72","82","67","80","91","92","66","78","64","78","66","76"
"Cumbria","62","77","92","76","0","67","86","75","61","80","62","77","70","75"
"Darlington","65","78","78","84","75","67","0","100","62","83","65","78","50","50"
"Derby","61","75","64","77","68","83","79","75","66","79","59","74","60","68"
"Derbyshire","64","77","70","89","58","64","93","79","65","82","64","77","58","46"
"Devon","62","76","59","96","17","88","80","88","64","74","62","77","58","57"
"Doncaster","61","77","67","75","63","95","83","89","60","85","62","76","31","82"
"Dorset","64","76","73","89","50","0","100","100","68","81","64","75","43","67"
"Dudley","59","76","57","75","58","77","75","50","56","79","59","76","62","55"
"Ealing","64","76","69","79","58","70","88","82","60","80","67","78","57","69"
"East Riding of Yorkshire","65","77","75","85","0","67","50","100","77","85","65","77","14","54"
"East Sussex","66","81","77","82","68","76","67","100","70","85","66","81","45","67"
"Enfield","63","74","77","80","62","78","100","88","73","82","61","70","66","76"
"Essex","66","78","81","86","66","90","72","91","69","78","65","77","58","88"
"Gateshead","65","79","86","91","50","94","71","100","77","85","64","78","50","59"
