"","All","Asian","Black","Chinese","Mixed","White","Other"
"Geography","%","%","%","%","%","%","%"
"Barking and Dagenham","70","77","77","78","73","62","62"
"Barnet","73","79","72","91","78","72","69"
"Barnsley","67","67","63","50","68","67","78"
"Bath and North East Somerset","71","91","40","67","67","71","58"
"Bedford","66","63","79","80","65","66","50"
"Bexley","76","85","83","88","77","73","72"
"Birmingham","67","70","67","81","67","64","65"
"Blackburn with Darwen","68","71","76","80","69","66","55"
"Blackpool","67","80","50","67","76","67","73"
"Bolton","68","73","57","67","79","67","60"
"Bournemouth","71","86","85","80","72","70","55"
"Bracknell Forest","74","83","71","82","77","73","77"
"Bradford","67","70","61","100","65","65","58"
"Brent","68","75","66","71","71","66","60"
"Brighton and Hove","69","63","73","75","70","69","46"
"Bristol, City of","68","70","59","82","69","69","67"
"Bromley","76","85","70","85","76","75","76"
"Buckinghamshire","72","71","68","96","74","72","58"
"Bury","67","66","68","81","64","69","52"
"Calderdale","64","63","67","86","63","64","50"
"Cambridgeshire","68","77","58","94","73","68","73"
"Camden","71","75","67","80","71","71","67"
"Central Bedfordshire","73","76","77","81","72","73","70"
"Cheshire East","70","79","81","60","72","70","54"
"Cheshire West and Chester","68","76","71","88","74","68","68"
"City of London","!","!","!","!","!","!","!"
"Cornwall","66","72","0","77","71","66","65"
"County Durham","73","73","50","77","70","73","52"
"Coventry","65","73","67","75","66","62","58"
"Croydon","72","77","73","91","72","71","70"
"Cumbria","69","83","50","82","71","69","71"
"Darlington","71","80","70","50","74","71","50"
"Derby","68","70","77","78","73","67","64"
"Derbyshire","70","80","61","86","74","70","52"
"Devon","69","73","57","83","69","69","58"
"Doncaster","69","71","76","87","72","69","58"
"Dorset","70","80","25","100","75","70","56"
"Dudley","67","66","69","70","68","67","58"
"Ealing","70","74","64","84","71","72","63"
"East Riding of Yorkshire","71","81","40","67","81","71","40"
"East Sussex","73","80","71","88","77","73","55"
"Enfield","69","78","70","92","78","65","71"
"Essex","71","83","77","80","73","71","73"
"Gateshead","72","89","86","83","80","71","54"
"Gloucestershire","69","74","69","93","74","69","48"
"Greenwich","76","83","81","90","73","71","71"
"Hackney","77","83","77","93","78","76","76"
"Halton","67","50","100","N/A","79","67","33"
"Hammersmith and Fulham","74","79","68","88","75","77","73"
"Hampshire","74","82","73","92","77","74","73"
"Haringey","74","81","75","75","80","73","68"
"Harrow","74","81","66","87","73","69","60"
"Hartlepool","72","79","100","80","68","72","63"
"Havering","73","84","74","88","74","71","68"
"Herefordshire, County of","73","80","100","100","80","73","54"
"Hertfordshire","72","79","72","92","74","71","69"
"Hillingdon","70","78","69","82","72","66","65"
"Hounslow","75","82","70","88","77","71","75"
"Isle of Wight","61","100","0","100","67","60","0"
"Isles of Scilly","!","!","!","!","!","!","!"
"Islington","72","78","68","100","68","75","68"
"Kensington and Chelsea","76","85","69","60","80","78","69"
"Kent","73","83","84","75","79","72","70"
"Kingston upon Hull, City of","67","81","63","100","66","67","62"
"Kingston upon Thames","74","75","67","94","74","74","71"
"Kirklees","67","70","63","73","61","67","66"
"Knowsley","65","78","65","100","71","65","70"
"Lambeth","75","76","74","86","76","75","71"
"Lancashire","69","69","72","70","69","70","55"
"Leeds","63","63","62","77","64","63","59"
"Leicester","64","71","63","74","63","57","67"
"Leicestershire","69","80","72","77","69","69","72"
"Lewisham","73","77","71","76","72","76","70"
"Lincolnshire","67","86","78","86","69","67","65"
"Liverpool","64","75","72","78","64","64","51"
"Luton","66","68","70","71","69","63","56"
"Manchester","67","67","72","85","69","66","61"
"Medway","72","81","85","91","77","71","76"
"Merton","71","79","72","71","69","69","64"
"Middlesbrough","64","67","78","50","71","64","39"
"Milton Keynes","69","79","70","95","72","65","72"
"Newcastle upon Tyne","72","72","72","87","79","72","70"
"Newham","76","79","78","80","76","69","76"
"Norfolk","67","73","71","76","70","67","63"
"North East Lincolnshire","68","80","71","100","80","68","59"
"North Lincolnshire","71","83","56","83","85","71","43"
"North Somerset","71","66","54","80","72","72","33"
"North Tyneside","73","82","71","100","77","73","73"
"North Yorkshire","70","75","74","75","77","70","68"
"Northamptonshire","69","69","70","89","70","69","63"
"Northumberland","74","88","100","88","82","74","58"
"Nottingham","64","67","69","85","65","63","61"
"Nottinghamshire","69","75","76","86","71","68","72"
"Oldham","64","61","65","44","71","66","47"
"Oxfordshire","69","71","68","85","70","69","56"
"Peterborough","62","64","69","64","67","62","65"
"Plymouth","67","73","69","89","65","68","52"
"Poole","73","83","64","50","72","73","75"
"Portsmouth","67","74","71","92","74","66","49"
"Reading","68","79","66","77","66","65","71"
