"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","FSM","Value","Value_type","Denominator","Numerator"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","England","Country","E92000001","All","All","70","%","664979","464846"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","England","Country","E92000001","All","FSM","53","%","91174","48348"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","England","Country","E92000001","All","Non-FSM","73","%","573805","416498"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","England","Country","E92000001","Boys","All","63","%","340912","216147"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","England","Country","E92000001","Boys","FSM","45","%","46833","21167"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","England","Country","E92000001","Boys","Non-FSM","66","%","294079","194980"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","England","Country","E92000001","Girls","All","77","%","324067","248699"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","England","Country","E92000001","Girls","FSM","61","%","44341","27181"
"Percentage of pupils reaching the expected standard in key stage 1 writing","All","All","2017-18","Academic Year","England","Country","E92000001","Girls","Non-FSM","79","%","279726","221518"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Asian","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","All","All","74","%","70705","52299"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Asian","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","All","FSM","64","%","7593","4872"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Asian","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","All","Non-FSM","75","%","63112","47427"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Asian","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Boys","All","68","%","36135","24592"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Asian","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Boys","FSM","57","%","3857","2188"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Asian","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Boys","Non-FSM","69","%","32278","22404"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Asian","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Girls","All","80","%","34570","27707"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Asian","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Girls","FSM","72","%","3736","2684"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Asian","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Girls","Non-FSM","81","%","30834","25023"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Asian Other","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","All","76","%","11786","8900"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Asian Other","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","FSM","63","%","1278","809"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Asian Other","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","Non-FSM","77","%","10508","8091"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Asian Other","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","All","71","%","6073","4282"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Asian Other","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","FSM","57","%","661","375"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Asian Other","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","Non-FSM","72","%","5412","3907"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Asian Other","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","All","81","%","5713","4618"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Asian Other","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","FSM","70","%","617","434"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Asian Other","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","Non-FSM","82","%","5096","4184"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Bangladeshi","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","All","73","%","10629","7804"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Bangladeshi","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","FSM","68","%","1666","1140"
"Percentage of pupils reaching the expected standard in key stage 1 writing","Bangladeshi","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","Non-FSM","74","%","8963","6664"
