"Ethnicity","Time","Rate per 1,000","Number of arrests"
"All","2006/07","27","1,474,843"
"All","2007/08","27","1,475,266"
"All","2008/09","27","1,462,139"
"All","2009/10","25","1,385,322"
"All","2010/11","25","1,353,740"
"All","2011/12","22","1,225,123"
"All","2012/13","20","1,068,823"
"All","2013/14","19","1,021,356"
"All","2014/15","17","941,692"
"All","2015/16","16","879,570"
"All","2016/17","14","762,419"
"All","2017/18","12","675,461"
"All","2018/19","12","671,126"
"Asian","2006/07","19","69,591"
"Asian","2007/08","20","74,755"
"Asian","2008/09","21","78,422"
"Asian","2009/10","21","78,124"
"Asian","2010/11","21","79,540"
"Asian","2011/12","19","72,361"
"Asian","2012/13","18","65,277"
"Asian","2013/14","17","64,304"
"Asian","2014/15","16","60,660"
"Asian","2015/16","16","59,096"
"Asian","2016/17","14","51,612"
"Asian","2017/18","12","45,603"
"Asian","2018/19","12","42,872"
"Black","2006/07","57","105,145"
"Black","2007/08","59","109,206"
"Black","2008/09","60","111,271"
"Black","2009/10","60","110,977"
"Black","2010/11","61","113,085"
"Black","2011/12","55","102,326"
"Black","2012/13","48","88,540"
"Black","2013/14","46","86,245"
"Black","2014/15","45","83,344"
"Black","2015/16","44","81,895"
"Black","2016/17","38","70,944"
"Black","2017/18","35","64,670"
"Black","2018/19","32","60,116"
"Mixed","2006/07","34","40,882"
"Mixed","2007/08","34","40,726"
"Mixed","2008/09","33","40,256"
"Mixed","2009/10","33","40,133"
"Mixed","2010/11","34","40,779"
"Mixed","2011/12","31","37,516"
"Mixed","2012/13","27","32,587"
"Mixed","2013/14","26","31,126"
"Mixed","2014/15","24","29,524"
"Mixed","2015/16","24","28,542"
"Mixed","2016/17","21","24,836"
"Mixed","2017/18","19","23,137"
"Mixed","2018/19","18","21,832"
"White","2006/07","24","1,133,468"
"White","2007/08","25","1,170,527"
"White","2008/09","25","1,178,536"
"White","2009/10","24","1,103,206"
"White","2010/11","23","1,075,562"
"White","2011/12","21","972,938"
"White","2012/13","18","844,957"
"White","2013/14","17","799,754"
"White","2014/15","16","730,376"
"White","2015/16","14","648,979"
"White","2016/17","12","552,620"
"White","2017/18","10","485,885"
"White","2018/19","10","452,320"
"Other inc Chinese","2006/07","21","19,408"
"Other inc Chinese","2007/08","22","21,103"
"Other inc Chinese","2008/09","22","20,931"
"Other inc Chinese","2009/10","21","20,249"
"Other inc Chinese","2010/11","21","19,556"
"Other inc Chinese","2011/12","18","17,289"
"Other inc Chinese","2012/13","16","15,398"
"Other inc Chinese","2013/14","16","14,712"
"Other inc Chinese","2014/15","15","13,876"
"Other inc Chinese","2015/16","15","14,249"
"Other inc Chinese","2016/17","13","12,016"
"Other inc Chinese","2017/18","11","10,810"
"Other inc Chinese","2018/19","12","11,148"
