"","White","","Unknown","","Other",""
"NHS trust board","Headcount","%","Headcount","%","Headcount","%"
"2Gether NHS Foundation Trust","14","93.3","0","0.0","1","6.7"
"Aintree University Hospital NHS Foundation Trust","12","100.0","0","0.0","0","0.0"
"Airedale NHS Foundation Trust","12","100.0","0","0.0","0","0.0"
"Alder Hey Children's NHS Foundation Trust","17","94.4","0","0.0","1","5.6"
"Ashford and St Peter's Hospitals NHS Foundation Trust","14","93.3","0","0.0","1","6.7"
"Avon and Wiltshire Mental Health Partnership NHS Trust","10","71.4","4","28.6","0","0.0"
"Barking, Havering and Redbridge University Hospitals NHS Trust","12","80.0","0","0.0","3","20.0"
"Barnet, Enfield and Haringey Mental Health NHS Trust","12","92.3","0","0.0","1","7.7"
"Barnsley Hospital NHS Foundation Trust","13","100.0","0","0.0","0","0.0"
"Barts Health NHS Trust","14","82.4","0","0.0","3","17.6"
"Basildon and Thurrock University Hospitals NHS Foundation Trust","12","80.0","2","13.3","1","6.7"
"Bedford Hospital NHS Trust","10","100.0","0","0.0","0","0.0"
"Berkshire Healthcare NHS Foundation Trust","11","84.6","0","0.0","2","15.4"
"Birmingham Community Healthcare NHS Foundation Trust","9","64.3","1","7.1","4","28.6"
"Birmingham Women's and Children's NHS Foundation Trust","12","85.7","0","0.0","2","14.3"
"Birmingham and Solihull Mental Health NHS Foundation Trust","5","38.5","5","38.5","3","23.1"
"Black Country Partnership NHS Foundation Trust","3","37.5","1","12.5","4","50.0"
"Blackpool Teaching Hospitals NHS Foundation Trust","9","60.0","6","40.0","0","0.0"
"Bolton NHS Foundation Trust","12","92.3","0","0.0","1","7.7"
"Bradford District Care NHS Foundation Trust","10","76.9","3","23.1","0","0.0"
"Bradford Teaching Hospitals NHS Foundation Trust","15","83.3","0","0.0","3","16.7"
"Bridgewater Community Healthcare NHS Foundation Trust","13","86.7","2","13.3","0","0.0"
"Brighton and Sussex University Hospitals NHS Trust","10","76.9","2","15.4","1","7.7"
"Buckinghamshire Healthcare NHS Trust","12","80.0","1","6.7","2","13.3"
"Burton Hospitals NHS Foundation Trust","14","93.3","1","6.7","0","0.0"
"Calderdale and Huddersfield NHS Foundation Trust","17","94.4","0","0.0","1","5.6"
"Cambridge University Hospitals NHS Foundation Trust","17","100.0","0","0.0","0","0.0"
"Cambridgeshire Community Services NHS Trust","11","100.0","0","0.0","0","0.0"
"Cambridgeshire and Peterborough NHS Foundation Trust","15","100.0","0","0.0","0","0.0"
"Camden and Islington NHS Foundation Trust","13","92.9","0","0.0","1","7.1"
"Central London Community Healthcare NHS Trust","9","90.0","0","0.0","1","10.0"
"Central Manchester University Hospitals NHS Foundation Trust","12","70.6","2","11.8","3","17.6"
"Central and North West London NHS Foundation Trust","13","76.5","1","5.9","3","17.6"
