"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Geography","Reason","Value","Numerator","Denominator"
"Fixed period exclusions","201819","Academic Year","Asian","ONS 5+1","England","Bullying","1.6","306","18657"
"Fixed period exclusions","201819","Academic Year","Asian","ONS 5+1","England","Damage","2.3","425","18657"
"Fixed period exclusions","201819","Academic Year","Asian","ONS 5+1","England","Drug and alcohol related","3.8","702","18657"
"Fixed period exclusions","201819","Academic Year","Asian","ONS 5+1","England","Other","23.3","4343","18657"
"Fixed period exclusions","201819","Academic Year","Asian","ONS 5+1","England","Persistent disruptive behaviour","14.9","2783","18657"
"Fixed period exclusions","201819","Academic Year","Asian","ONS 5+1","England","Physical assault against a pupil","28.1","5244","18657"
"Fixed period exclusions","201819","Academic Year","Asian","ONS 5+1","England","Physical assault against an adult","3.8","708","18657"
"Fixed period exclusions","201819","Academic Year","Asian","ONS 5+1","England","Racist abuse","1.6","299","18657"
"Fixed period exclusions","201819","Academic Year","Asian","ONS 5+1","England","Sexual Misconduct","0.9","163","18657"
"Fixed period exclusions","201819","Academic Year","Asian","ONS 5+1","England","Theft","1.9","363","18657"
"Fixed period exclusions","201819","Academic Year","Asian","ONS 5+1","England","Verbal abuse/ threatening behaviour against a pupil","5.6","1039","18657"
"Fixed period exclusions","201819","Academic Year","Asian","ONS 5+1","England","Verbal abuse/ threatening behaviour against an adult","12.2","2282","18657"
"Permanent exclusions","201819","Academic Year","Asian","ONS 5+1","England","Bullying","0.3","1","366"
"Permanent exclusions","201819","Academic Year","Asian","ONS 5+1","England","Damage","0","0","366"
"Permanent exclusions","201819","Academic Year","Asian","ONS 5+1","England","Drug and alcohol related","13.7","50","366"
"Permanent exclusions","201819","Academic Year","Asian","ONS 5+1","England","Other","28.1","103","366"
"Permanent exclusions","201819","Academic Year","Asian","ONS 5+1","England","Persistent disruptive behaviour","19.1","70","366"
"Permanent exclusions","201819","Academic Year","Asian","ONS 5+1","England","Physical assault against a pupil","21.9","80","366"
"Permanent exclusions","201819","Academic Year","Asian","ONS 5+1","England","Physical assault against an adult","4.9","18","366"
"Permanent exclusions","201819","Academic Year","Asian","ONS 5+1","England","Racist abuse","0","0","366"
"Permanent exclusions","201819","Academic Year","Asian","ONS 5+1","England","Sexual Misconduct","2.5","9","366"
"Permanent exclusions","201819","Academic Year","Asian","ONS 5+1","England","Theft","0","0","366"
"Permanent exclusions","201819","Academic Year","Asian","ONS 5+1","England","Verbal abuse/ threatening behaviour against a pupil","6","22","366"
"Permanent exclusions","201819","Academic Year","Asian","ONS 5+1","England","Verbal abuse/ threatening behaviour against an adult","3.6","13","366"
"Fixed period exclusions","201819","Academic Year","Asian Other","ONS 18+1","England","Bullying","1.2","28","2308"
"Fixed period exclusions","201819","Academic Year","Asian Other","ONS 18+1","England","Damage","2.7","63","2308"
"Fixed period exclusions","201819","Academic Year","Asian Other","ONS 18+1","England","Drug and alcohol related","3.6","84","2308"
"Fixed period exclusions","201819","Academic Year","Asian Other","ONS 18+1","England","Other","21.4","493","2308"
"Fixed period exclusions","201819","Academic Year","Asian Other","ONS 18+1","England","Persistent disruptive behaviour","16.9","390","2308"
"Fixed period exclusions","201819","Academic Year","Asian Other","ONS 18+1","England","Physical assault against a pupil","26.6","615","2308"
"Fixed period exclusions","201819","Academic Year","Asian Other","ONS 18+1","England","Physical assault against an adult","5.1","117","2308"
"Fixed period exclusions","201819","Academic Year","Asian Other","ONS 18+1","England","Racist abuse","1.6","36","2308"
"Fixed period exclusions","201819","Academic Year","Asian Other","ONS 18+1","England","Sexual Misconduct","1.2","28","2308"
"Fixed period exclusions","201819","Academic Year","Asian Other","ONS 18+1","England","Theft","2.6","60","2308"
"Fixed period exclusions","201819","Academic Year","Asian Other","ONS 18+1","England","Verbal abuse/ threatening behaviour against a pupil","5.5","127","2308"
"Fixed period exclusions","201819","Academic Year","Asian Other","ONS 18+1","England","Verbal abuse/ threatening behaviour against an adult","11.6","267","2308"
"Permanent exclusions","201819","Academic Year","Asian Other","ONS 18+1","England","Bullying","0","0","55"
"Permanent exclusions","201819","Academic Year","Asian Other","ONS 18+1","England","Damage","0","0","55"
"Permanent exclusions","201819","Academic Year","Asian Other","ONS 18+1","England","Drug and alcohol related","20","11","55"
"Permanent exclusions","201819","Academic Year","Asian Other","ONS 18+1","England","Other","25.5","14","55"
"Permanent exclusions","201819","Academic Year","Asian Other","ONS 18+1","England","Persistent disruptive behaviour","14.5","8","55"
"Permanent exclusions","201819","Academic Year","Asian Other","ONS 18+1","England","Physical assault against a pupil","18.2","10","55"
"Permanent exclusions","201819","Academic Year","Asian Other","ONS 18+1","England","Physical assault against an adult","5.5","3","55"
"Permanent exclusions","201819","Academic Year","Asian Other","ONS 18+1","England","Racist abuse","0","0","55"
"Permanent exclusions","201819","Academic Year","Asian Other","ONS 18+1","England","Sexual Misconduct","5.5","3","55"
"Permanent exclusions","201819","Academic Year","Asian Other","ONS 18+1","England","Theft","0","0","55"
"Permanent exclusions","201819","Academic Year","Asian Other","ONS 18+1","England","Verbal abuse/ threatening behaviour against a pupil","5.5","3","55"
"Permanent exclusions","201819","Academic Year","Asian Other","ONS 18+1","England","Verbal abuse/ threatening behaviour against an adult","5.5","3","55"
"Fixed period exclusions","201819","Academic Year","Bangladeshi","ONS 18+1","England","Bullying","2.4","69","2847"
"Fixed period exclusions","201819","Academic Year","Bangladeshi","ONS 18+1","England","Damage","2.1","59","2847"
"Fixed period exclusions","201819","Academic Year","Bangladeshi","ONS 18+1","England","Drug and alcohol related","4.7","134","2847"
