"Type of school","Ethnicity","Rate","Number"
"Special","Asian","0.03","4"
"Special","Bangladeshi","0.00","0"
"Special","Indian","0.00","0"
"Special","Pakistani","0.05","3"
"Special","Asian other","0.04","1"
"Special","Black","0.06","5"
"Special","Black African","0.04","2"
"Special","Black Caribbean","0.11","2"
"Special","Black other","0.07","1"
"Special","Chinese","0.00","0"
"Special","Mixed","0.24","18"
"Special","Mixed White/Asian","0.08","1"
"Special","Mixed White/Black African","0.30","3"
"Special","Mixed White/Black Caribbean","0.53","12"
"Special","Mixed other","0.07","2"
"Special","White","0.05","44"
"Special","White British","0.05","42"
"Special","White Irish","0.30","1"
"Special","Gypsy/Roma","0.00","0"
"Special","Irish Traveller","0.00","0"
"Special","White other","0.02","1"
"Special","Other","0.00","0"
"Special","Unknown","0.16","3"
"State-funded primary","Asian","0.00","22"
"State-funded primary","Bangladeshi","0.00","4"
"State-funded primary","Indian","0.00","3"
"State-funded primary","Pakistani","0.01","13"
"State-funded primary","Asian other","0.00","2"
"State-funded primary","Black","0.02","58"
"State-funded primary","Black African","0.01","24"
"State-funded primary","Black Caribbean","0.06","25"
"State-funded primary","Black other","0.02","9"
"State-funded primary","Chinese","0.00","0"
"State-funded primary","Mixed","0.04","117"
"State-funded primary","Mixed White/Asian","0.02","11"
"State-funded primary","Mixed White/Black African","0.06","23"
"State-funded primary","Mixed White/Black Caribbean","0.08","59"
"State-funded primary","Mixed other","0.02","24"
"State-funded primary","White","0.02","851"
"State-funded primary","White British","0.03","796"
"State-funded primary","White Irish","0.03","3"
"State-funded primary","Gypsy/Roma","0.09","17"
"State-funded primary","Irish Traveller","0.12","6"
"State-funded primary","White other","0.01","29"
"State-funded primary","Other","0.01","8"
"State-funded primary","Unknown","0.02","11"
"State-funded secondary","Asian","0.09","340"
"State-funded secondary","Bangladeshi","0.09","54"
"State-funded secondary","Indian","0.03","35"
"State-funded secondary","Pakistani","0.13","199"
"State-funded secondary","Asian other","0.08","52"
"State-funded secondary","Black","0.24","466"
"State-funded secondary","Black African","0.15","203"
"State-funded secondary","Black Caribbean","0.46","193"
"State-funded secondary","Black other","0.29","70"
"State-funded secondary","Chinese","0.02","3"
"State-funded secondary","Mixed","0.29","523"
"State-funded secondary","Mixed White/Asian","0.18","78"
"State-funded secondary","Mixed White/Black African","0.24","56"
"State-funded secondary","Mixed White/Black Caribbean","0.47","225"
"State-funded secondary","Mixed other","0.24","164"
"State-funded secondary","White","0.21","5,143"
"State-funded secondary","White British","0.22","4,795"
"State-funded secondary","White Irish","0.10","10"
"State-funded secondary","Gypsy/Roma","1.08","90"
"State-funded secondary","Irish Traveller","0.91","11"
"State-funded secondary","White other","0.13","237"
"State-funded secondary","Other","0.18","113"
"State-funded secondary","Unknown","0.29","165"
"Total","Asian","0.04","366"
"Total","Bangladeshi","0.04","58"
"Total","Indian","0.01","38"
"Total","Pakistani","0.06","215"
"Total","Asian other","0.04","55"
"Total","Black","0.11","529"
"Total","Black African","0.07","229"
"Total","Black Caribbean","0.25","220"
"Total","Black other","0.13","80"
"Total","Chinese","0.01","3"
"Total","Mixed","0.13","658"
"Total","Mixed White/Asian","0.08","90"
"Total","Mixed White/Black African","0.12","82"
"Total","Mixed White/Black Caribbean","0.24","296"
"Total","Mixed other","0.10","190"
"Total","White","0.10","6,038"
"Total","White British","0.10","5,633"
"Total","White Irish","0.06","14"
"Total","Gypsy/Roma","0.39","107"
"Total","Irish Traveller","0.27","17"
"Total","White other","0.05","267"
"Total","Other","0.08","121"
"Total","Unknown","0.17","179"
