"Ethnicity","Time","%","Number of respondents"
"All","2012/13","52.8","9,838"
"All","2013/14","53.1","10,355"
"All","2014/15","52.0","9,817"
"All","2015/16","52.5","10,171"
"All","2016/17","52.3","9,352"
"All","2017/18","49.7","2,088"
"All","2018/19","50.2","8,161"
"Asian","2012/13","45.7","394"
"Asian","2013/14","47.3","404"
"Asian","2014/15","39.9","367"
"Asian","2015/16","49.9","434"
"Asian","2016/17","47.3","423"
"Asian","2017/18","37.9","118"
"Asian","2018/19","43.7","487"
"Black","2012/13","39.9","188"
"Black","2013/14","49.0","203"
"Black","2014/15","40.7","239"
"Black","2015/16","41.3","242"
"Black","2016/17","31.9","242"
"Black","2017/18","28.6","55"
"Black","2018/19","33.5","226"
"Mixed","2012/13","48.4","171"
"Mixed","2013/14","49.7","142"
"Mixed","2014/15","57.8","99"
"Mixed","2015/16","53.3","119"
"Mixed","2016/17","52.3","170"
"Mixed","2017/18","48.4","38"
"Mixed","2018/19","60.3","121"
"White","2012/13","53.7","9,054"
"White","2013/14","53.6","9,546"
"White","2014/15","53.2","9,050"
"White","2015/16","53.1","9,312"
"White","2016/17","53.6","8,473"
"White","2017/18","51.4","1,849"
"White","2018/19","51.1","7,239"
"Other","2012/13","?","22"
"Other","2013/14","67.7","49"
"Other","2014/15","51.6","52"
"Other","2015/16","52.3","55"
"Other","2016/17","?","27"
"Other","2017/18","?","21"
"Other","2018/19","51.4","46"
