"Ethnicity","Geography","% of firefighters","Number of firefighters"
"Asian","Avon","0.0","0"
"Asian","Bedfordshire","0.2","1"
"Asian","Berkshire","0.4","2"
"Asian","Buckinghamshire","0.3","1"
"Asian","Cambridgeshire","0.5","2"
"Asian","Cheshire","0.5","3"
"Asian","Cleveland","0.5","2"
"Asian","Cornwall","0.0","0"
"Asian","Cumbria","0.2","1"
"Asian","Derbyshire","0.8","5"
"Asian","Devon and Somerset","0.0","0"
"Asian","Dorset and Wiltshire","0.0","0"
"Asian","Durham","0.0","0"
"Asian","East Sussex","0.2","1"
"Asian","England","0.7","219"
"Asian","Essex","0.4","2"
"Asian","Gloucestershire","0.9","3"
"Asian","Greater London","1.8","84"
"Asian","Greater Manchester","1.0","12"
"Asian","Hampshire","0.2","3"
"Asian","Hereford and Worcester","0.2","1"
"Asian","Hertfordshire","1.1","7"
"Asian","Humberside","0.1","1"
"Asian","Isle Of Wight","0.0","0"
"Asian","Isles of Scilly","0.0","0"
"Asian","Kent","0.1","1"
"Asian","Lancashire","1.1","12"
"Asian","Leicestershire","0.4","2"
"Asian","Lincolnshire","0.3","2"
"Asian","Merseyside","0.0","0"
"Asian","Norfolk","0.0","0"
"Asian","North Yorkshire","0.3","2"
"Asian","Northamptonshire","0.0","0"
"Asian","Northumberland","0.0","0"
"Asian","Nottinghamshire","0.9","6"
"Asian","Oxfordshire","0.0","0"
"Asian","Shropshire","0.0","0"
"Asian","South Yorkshire","0.2","1"
"Asian","Staffordshire","1.5","10"
"Asian","Suffolk","0.0","0"
"Asian","Surrey","0.7","4"
"Asian","Tyne and Wear","0.5","3"
"Asian","Warwickshire","0.9","3"
"Asian","West Midlands","1.7","24"
"Asian","West Sussex","0.0","0"
"Asian","West Yorkshire","1.7","18"
"Black","Avon","0.8","5"
"Black","Bedfordshire","1.0","4"
"Black","Berkshire","0.7","3"
"Black","Buckinghamshire","0.6","2"
"Black","Cambridgeshire","0.2","1"
"Black","Cheshire","0.5","3"
"Black","Cleveland","0.5","2"
"Black","Cornwall","0.4","2"
"Black","Cumbria","0.2","1"
"Black","Derbyshire","0.0","0"
"Black","Devon and Somerset","0.1","1"
"Black","Dorset and Wiltshire","0.2","2"
"Black","Durham","0.9","4"
"Black","East Sussex","0.4","2"
"Black","England","1.3","427"
"Black","Essex","0.4","2"
"Black","Gloucestershire","0.6","2"
"Black","Greater London","5.3","247"
"Black","Greater Manchester","1.1","13"
"Black","Hampshire","0.1","1"
"Black","Hereford and Worcester","0.0","0"
"Black","Hertfordshire","0.8","5"
"Black","Humberside","0.5","4"
"Black","Isle Of Wight","0.0","0"
"Black","Isles of Scilly","2.4","1"
"Black","Kent","0.3","2"
"Black","Lancashire","0.3","3"
"Black","Leicestershire","0.4","2"
"Black","Lincolnshire","0.0","0"
"Black","Merseyside","0.9","7"
"Black","Norfolk","0.2","1"
"Black","North Yorkshire","0.2","1"
"Black","Northamptonshire","0.3","1"
"Black","Northumberland","0.0","0"
"Black","Nottinghamshire","0.9","6"
"Black","Oxfordshire","0.4","2"
"Black","Shropshire","1.0","4"
"Black","South Yorkshire","1.2","8"
"Black","Staffordshire","0.9","6"
"Black","Suffolk","0.2","1"
"Black","Surrey","0.2","1"
"Black","Tyne and Wear","0.2","1"
"Black","Warwickshire","1.3","4"
"Black","West Midlands","4.2","58"
"Black","West Sussex","0.0","0"
"Black","West Yorkshire","1.1","12"
"Mixed","Avon","0.8","5"
"Mixed","Bedfordshire","2.7","11"
"Mixed","Berkshire","1.3","6"
"Mixed","Buckinghamshire","2.2","7"
"Mixed","Cambridgeshire","2.0","8"
"Mixed","Cheshire","0.6","4"
"Mixed","Cleveland","0.2","1"
"Mixed","Cornwall","0.9","4"
"Mixed","Cumbria","0.0","0"
"Mixed","Derbyshire","0.8","5"
"Mixed","Devon and Somerset","0.6","9"
"Mixed","Dorset and Wiltshire","0.6","5"
"Mixed","Durham","1.4","6"
"Mixed","East Sussex","2.3","13"
"Mixed","England","1.8","577"
"Mixed","Essex","1.3","7"
"Mixed","Gloucestershire","1.2","4"
"Mixed","Greater London","4.8","220"
"Mixed","Greater Manchester","2.9","35"
"Mixed","Hampshire","0.5","6"
"Mixed","Hereford and Worcester","1.9","11"
"Mixed","Hertfordshire","1.2","8"
"Mixed","Humberside","0.8","6"
"Mixed","Isle Of Wight","0.0","0"
"Mixed","Isles of Scilly","0.0","0"
"Mixed","Kent","0.5","4"
"Mixed","Lancashire","1.1","11"
"Mixed","Leicestershire","1.8","9"
"Mixed","Lincolnshire","1.2","7"
"Mixed","Merseyside","3.7","29"
"Mixed","Norfolk","0.3","2"
"Mixed","North Yorkshire","0.2","1"
"Mixed","Northamptonshire","1.7","5"
"Mixed","Northumberland","0.7","2"
"Mixed","Nottinghamshire","2.2","15"
"Mixed","Oxfordshire","1.0","5"
"Mixed","Shropshire","0.3","1"
"Mixed","South Yorkshire","2.0","13"
"Mixed","Staffordshire","0.7","5"
"Mixed","Suffolk","1.4","6"
"Mixed","Surrey","1.2","7"
"Mixed","Tyne and Wear","1.0","6"
"Mixed","Warwickshire","0.9","3"
"Mixed","West Midlands","3.8","52"
"Mixed","West Sussex","0.4","2"
"Mixed","West Yorkshire","1.0","11"
"White","Avon","97.8","614"
"White","Bedfordshire","96.1","396"
"White","Berkshire","97.3","438"
"White","Buckinghamshire","96.9","308"
"White","Cambridgeshire","97.3","391"
"White","Cheshire","98.0","645"
"White","Cleveland","98.6","433"
"White","Cornwall","98.5","456"
"White","Cumbria","99.3","442"
"White","Derbyshire","98.3","633"
"White","Devon and Somerset","99.2","1,556"
"White","Dorset and Wiltshire","98.7","866"
"White","Durham","97.7","418"
"White","East Sussex","96.9","539"
"White","England","95.7","30,285"
"White","Essex","97.8","524"
"White","Gloucestershire","97.0","322"
"White","Greater London","86.6","4,004"
"White","Greater Manchester","94.9","1,146"
"White","Hampshire","99.0","1,191"
"White","Hereford and Worcester","97.7","560"
"White","Hertfordshire","96.3","632"
"White","Humberside","98.6","773"
"White","Isle Of Wight","100.0","151"
"White","Isles of Scilly","97.6","41"
"White","Kent","98.4","744"
"White","Lancashire","97.0","1,014"
"White","Leicestershire","97.5","501"
"White","Lincolnshire","98.5","580"
"White","Merseyside","94.1","744"
"White","Norfolk","99.4","624"
"White","North Yorkshire","99.0","571"
"White","Northamptonshire","98.0","290"
"White","Northumberland","99.3","274"
"White","Nottinghamshire","96.0","651"
"White","Oxfordshire","98.3","511"
"White","Shropshire","98.7","385"
"White","South Yorkshire","96.2","627"
