"","Any income-related benefit","Any non-income related benefit","Any type of state support","Any type of tax credit"
"","%","%","%","%"
"All","19","52","56","10"
"Asian","17","43","47","16"
"Bangladeshi","34","50","56","30"
"Chinese","10","28","32","6"
"Indian","10","43","45","9"
"Pakistani","24","46","53","24"
"Asian other","17","40","45","15"
"Black","30","46","55","18"
"Mixed","22","38","44","16"
"White British","19","54","58","9"
"White other","13","36","39","11"
"Other","24","38","44","14"
